id,atom_id,molecule_id,type,fpk_molecule_id
1,i100_02_7_10i,i100_02_7i,c,1
2,i100_02_7_10_1i,i100_02_7i,h,1
3,i100_02_7_1i,i100_02_7i,o,1
4,i100_02_7_2i,i100_02_7i,n,1
5,i100_02_7_3i,i100_02_7i,o,1
6,i100_02_7_4i,i100_02_7i,c,1
7,i100_02_7_5i,i100_02_7i,c,1
8,i100_02_7_5_1i,i100_02_7i,h,1
9,i100_02_7_6i,i100_02_7i,c,1
10,i100_02_7_6_1i,i100_02_7i,h,1
11,i100_02_7_7i,i100_02_7i,c,1
12,i100_02_7_8i,i100_02_7i,o,1
13,i100_02_7_8_1i,i100_02_7i,h,1
14,i100_02_7_9i,i100_02_7i,c,1
15,i100_02_7_9_1i,i100_02_7i,h,1
16,i100_21_0_10i,i100_21_0i,o,2
17,i100_21_0_11i,i100_21_0i,o,2
18,i100_21_0_11_1i,i100_21_0i,h,2
19,i100_21_0_12i,i100_21_0i,c,2
20,i100_21_0_12_1i,i100_21_0i,h,2
21,i100_21_0_1i,i100_21_0i,o,2
22,i100_21_0_2i,i100_21_0i,c,2
23,i100_21_0_3i,i100_21_0i,o,2
24,i100_21_0_3_1i,i100_21_0i,h,2
25,i100_21_0_4i,i100_21_0i,c,2
26,i100_21_0_5i,i100_21_0i,c,2
27,i100_21_0_5_1i,i100_21_0i,h,2
28,i100_21_0_6i,i100_21_0i,c,2
29,i100_21_0_6_1i,i100_21_0i,h,2
30,i100_21_0_7i,i100_21_0i,c,2
31,i100_21_0_8i,i100_21_0i,c,2
32,i100_21_0_8_1i,i100_21_0i,h,2
33,i100_21_0_9i,i100_21_0i,c,2
34,i100_41_4_1i,i100_41_4i,c,3
35,i100_41_4_2i,i100_41_4i,c,3
36,i100_41_4_2_1i,i100_41_4i,h,3
37,i100_41_4_3i,i100_41_4i,c,3
38,i100_41_4_3_1i,i100_41_4i,h,3
39,i100_41_4_4i,i100_41_4i,c,3
40,i100_41_4_4_1i,i100_41_4i,h,3
41,i100_41_4_5i,i100_41_4i,c,3
42,i100_41_4_5_1i,i100_41_4i,h,3
43,i100_41_4_6i,i100_41_4i,c,3
44,i100_41_4_6_1i,i100_41_4i,h,3
45,i100_41_4_7i,i100_41_4i,c,3
46,i100_41_4_7_1i,i100_41_4i,h,3
47,i100_41_4_7_2i,i100_41_4i,h,3
48,i100_41_4_8i,i100_41_4i,c,3
49,i100_41_4_8_1i,i100_41_4i,h,3
50,i100_41_4_8_2i,i100_41_4i,h,3
51,i100_41_4_8_3i,i100_41_4i,h,3
52,i100_42_5_1i,i100_42_5i,c,4
53,i100_42_5_2i,i100_42_5i,c,4
54,i100_42_5_2_1i,i100_42_5i,h,4
55,i100_42_5_3i,i100_42_5i,c,4
56,i100_42_5_3_1i,i100_42_5i,h,4
57,i100_42_5_4i,i100_42_5i,c,4
58,i100_42_5_4_1i,i100_42_5i,h,4
59,i100_42_5_5i,i100_42_5i,c,4
60,i100_42_5_5_1i,i100_42_5i,h,4
61,i100_42_5_6i,i100_42_5i,c,4
62,i100_42_5_6_1i,i100_42_5i,h,4
63,i100_42_5_7i,i100_42_5i,c,4
64,i100_42_5_7_1i,i100_42_5i,h,4
65,i100_42_5_8i,i100_42_5i,c,4
66,i100_42_5_8_1i,i100_42_5i,h,4
67,i100_42_5_8_2i,i100_42_5i,h,4
68,i100_44_7_1i,i100_44_7i,c,5
69,i100_44_7_2i,i100_44_7i,c,5
70,i100_44_7_2_1i,i100_44_7i,h,5
71,i100_44_7_3i,i100_44_7i,c,5
72,i100_44_7_3_1i,i100_44_7i,h,5
73,i100_44_7_4i,i100_44_7i,c,5
74,i100_44_7_4_1i,i100_44_7i,h,5
75,i100_44_7_5i,i100_44_7i,c,5
76,i100_44_7_5_1i,i100_44_7i,h,5
77,i100_44_7_6i,i100_44_7i,c,5
78,i100_44_7_6_1i,i100_44_7i,h,5
79,i100_44_7_7i,i100_44_7i,c,5
80,i100_44_7_7_1i,i100_44_7i,h,5
81,i100_44_7_7_2i,i100_44_7i,h,5
82,i100_44_7_8i,i100_44_7i,cl,5
83,i100_75_4_1i,i100_75_4i,o,6
84,i100_75_4_2i,i100_75_4i,n,6
85,i100_75_4_3i,i100_75_4i,n,6
86,i100_75_4_4i,i100_75_4i,c,6
87,i100_75_4_4_1i,i100_75_4i,h,6
88,i100_75_4_4_2i,i100_75_4i,h,6
89,i100_75_4_5i,i100_75_4i,c,6
90,i100_75_4_5_1i,i100_75_4i,h,6
91,i100_75_4_5_2i,i100_75_4i,h,6
92,i100_75_4_6i,i100_75_4i,c,6
93,i100_75_4_6_1i,i100_75_4i,h,6
94,i100_75_4_6_2i,i100_75_4i,h,6
95,i100_75_4_7i,i100_75_4i,c,6
96,i100_75_4_7_1i,i100_75_4i,h,6
97,i100_75_4_7_2i,i100_75_4i,h,6
98,i100_75_4_8i,i100_75_4i,c,6
99,i100_75_4_8_1i,i100_75_4i,h,6
100,i100_75_4_8_2i,i100_75_4i,h,6
101,i101_14_4_10i,i101_14_4i,c,7
102,i101_14_4_10_1i,i101_14_4i,h,7
103,i101_14_4_11i,i101_14_4i,c,7
104,i101_14_4_12i,i101_14_4i,n,7
105,i101_14_4_12_1i,i101_14_4i,h,7
106,i101_14_4_12_2i,i101_14_4i,h,7
107,i101_14_4_13i,i101_14_4i,c,7
108,i101_14_4_14i,i101_14_4i,cl,7
109,i101_14_4_15i,i101_14_4i,c,7
110,i101_14_4_15_1i,i101_14_4i,h,7
111,i101_14_4_16i,i101_14_4i,cl,7
112,i101_14_4_17i,i101_14_4i,c,7
113,i101_14_4_17_1i,i101_14_4i,h,7
114,i101_14_4_1i,i101_14_4i,n,7
115,i101_14_4_1_1i,i101_14_4i,h,7
116,i101_14_4_1_2i,i101_14_4i,h,7
117,i101_14_4_2i,i101_14_4i,c,7
118,i101_14_4_3i,i101_14_4i,c,7
119,i101_14_4_4i,i101_14_4i,c,7
120,i101_14_4_4_1i,i101_14_4i,h,7
121,i101_14_4_5i,i101_14_4i,c,7
122,i101_14_4_6i,i101_14_4i,c,7
123,i101_14_4_6_1i,i101_14_4i,h,7
124,i101_14_4_7i,i101_14_4i,c,7
125,i101_14_4_7_1i,i101_14_4i,h,7
126,i101_14_4_7_2i,i101_14_4i,h,7
127,i101_14_4_8i,i101_14_4i,c,7
128,i101_14_4_9i,i101_14_4i,c,7
129,i101_14_4_9_1i,i101_14_4i,h,7
130,i101_61_1_10i,i101_61_1i,c,8
131,i101_61_1_10_1i,i101_61_1i,h,8
132,i101_61_1_11i,i101_61_1i,c,8
133,i101_61_1_12i,i101_61_1i,n,8
134,i101_61_1_13i,i101_61_1i,c,8
135,i101_61_1_13_1i,i101_61_1i,h,8
136,i101_61_1_13_2i,i101_61_1i,h,8
137,i101_61_1_13_3i,i101_61_1i,h,8
138,i101_61_1_14i,i101_61_1i,c,8
139,i101_61_1_14_1i,i101_61_1i,h,8
140,i101_61_1_14_2i,i101_61_1i,h,8
141,i101_61_1_14_3i,i101_61_1i,h,8
142,i101_61_1_15i,i101_61_1i,c,8
143,i101_61_1_15_1i,i101_61_1i,h,8
144,i101_61_1_16i,i101_61_1i,c,8
145,i101_61_1_16_1i,i101_61_1i,h,8
146,i101_61_1_17i,i101_61_1i,c,8
147,i101_61_1_17_1i,i101_61_1i,h,8
148,i101_61_1_18i,i101_61_1i,c,8
149,i101_61_1_18_1i,i101_61_1i,h,8
150,i101_61_1_18_2i,i101_61_1i,h,8
151,i101_61_1_18_3i,i101_61_1i,h,8
152,i101_61_1_19i,i101_61_1i,c,8
153,i101_61_1_19_1i,i101_61_1i,h,8
154,i101_61_1_19_2i,i101_61_1i,h,8
155,i101_61_1_19_3i,i101_61_1i,h,8
156,i101_61_1_1i,i101_61_1i,n,8
157,i101_61_1_2i,i101_61_1i,c,8
158,i101_61_1_3i,i101_61_1i,c,8
159,i101_61_1_3_1i,i101_61_1i,h,8
160,i101_61_1_4i,i101_61_1i,c,8
161,i101_61_1_4_1i,i101_61_1i,h,8
162,i101_61_1_5i,i101_61_1i,c,8
163,i101_61_1_6i,i101_61_1i,c,8
164,i101_61_1_6_1i,i101_61_1i,h,8
165,i101_61_1_7i,i101_61_1i,c,8
166,i101_61_1_7_1i,i101_61_1i,h,8
167,i101_61_1_7_2i,i101_61_1i,h,8
168,i101_61_1_8i,i101_61_1i,c,8
169,i101_61_1_9i,i101_61_1i,c,8
170,i101_61_1_9_1i,i101_61_1i,h,8
171,i101_68_8_10i,i101_68_8i,c,9
172,i101_68_8_11i,i101_68_8i,c,9
173,i101_68_8_11_1i,i101_68_8i,h,9
174,i101_68_8_12i,i101_68_8i,c,9
175,i101_68_8_12_1i,i101_68_8i,h,9
176,i101_68_8_13i,i101_68_8i,c,9
177,i101_68_8_14i,i101_68_8i,n,9
178,i101_68_8_15i,i101_68_8i,c,9
179,i101_68_8_16i,i101_68_8i,o,9
180,i101_68_8_17i,i101_68_8i,c,9
181,i101_68_8_17_1i,i101_68_8i,h,9
182,i101_68_8_18i,i101_68_8i,c,9
183,i101_68_8_18_1i,i101_68_8i,h,9
184,i101_68_8_19i,i101_68_8i,c,9
185,i101_68_8_19_1i,i101_68_8i,h,9
186,i101_68_8_1i,i101_68_8i,o,9
187,i101_68_8_2i,i101_68_8i,c,9
188,i101_68_8_3i,i101_68_8i,n,9
189,i101_68_8_4i,i101_68_8i,c,9
190,i101_68_8_5i,i101_68_8i,c,9
191,i101_68_8_5_1i,i101_68_8i,h,9
192,i101_68_8_6i,i101_68_8i,c,9
193,i101_68_8_6_1i,i101_68_8i,h,9
194,i101_68_8_7i,i101_68_8i,c,9
195,i101_68_8_8i,i101_68_8i,c,9
196,i101_68_8_8_1i,i101_68_8i,h,9
197,i101_68_8_9i,i101_68_8i,c,9
198,i101_68_8_9_1i,i101_68_8i,h,9
199,i101_68_8_9_2i,i101_68_8i,h,9
200,i101_77_9_10i,i101_77_9i,c,10
201,i101_77_9_10_1i,i101_77_9i,h,10
202,i101_77_9_11i,i101_77_9i,c,10
203,i101_77_9_12i,i101_77_9i,n,10
204,i101_77_9_12_1i,i101_77_9i,h,10
205,i101_77_9_12_2i,i101_77_9i,h,10
206,i101_77_9_13i,i101_77_9i,c,10
207,i101_77_9_13_1i,i101_77_9i,h,10
208,i101_77_9_14i,i101_77_9i,c,10
209,i101_77_9_14_1i,i101_77_9i,h,10
210,i101_77_9_15i,i101_77_9i,c,10
211,i101_77_9_15_1i,i101_77_9i,h,10
212,i101_77_9_1i,i101_77_9i,n,10
213,i101_77_9_1_1i,i101_77_9i,h,10
214,i101_77_9_1_2i,i101_77_9i,h,10
215,i101_77_9_2i,i101_77_9i,c,10
216,i101_77_9_3i,i101_77_9i,c,10
217,i101_77_9_3_1i,i101_77_9i,h,10
218,i101_77_9_4i,i101_77_9i,c,10
219,i101_77_9_4_1i,i101_77_9i,h,10
220,i101_77_9_5i,i101_77_9i,c,10
221,i101_77_9_6i,i101_77_9i,c,10
222,i101_77_9_6_1i,i101_77_9i,h,10
223,i101_77_9_7i,i101_77_9i,c,10
224,i101_77_9_7_1i,i101_77_9i,h,10
225,i101_77_9_7_2i,i101_77_9i,h,10
226,i101_77_9_8i,i101_77_9i,c,10
227,i101_77_9_9i,i101_77_9i,c,10
228,i101_77_9_9_1i,i101_77_9i,h,10
229,i101_80_4_10i,i101_80_4i,c,11
230,i101_80_4_10_1i,i101_80_4i,h,11
231,i101_80_4_11i,i101_80_4i,c,11
232,i101_80_4_11_1i,i101_80_4i,h,11
233,i101_80_4_12i,i101_80_4i,c,11
234,i101_80_4_13i,i101_80_4i,n,11
235,i101_80_4_13_1i,i101_80_4i,h,11
236,i101_80_4_13_2i,i101_80_4i,h,11
237,i101_80_4_14i,i101_80_4i,c,11
238,i101_80_4_14_1i,i101_80_4i,h,11
239,i101_80_4_15i,i101_80_4i,c,11
240,i101_80_4_15_1i,i101_80_4i,h,11
241,i101_80_4_1i,i101_80_4i,o,11
242,i101_80_4_2i,i101_80_4i,c,11
243,i101_80_4_3i,i101_80_4i,c,11
244,i101_80_4_3_1i,i101_80_4i,h,11
245,i101_80_4_4i,i101_80_4i,c,11
246,i101_80_4_4_1i,i101_80_4i,h,11
247,i101_80_4_5i,i101_80_4i,c,11
248,i101_80_4_6i,i101_80_4i,n,11
249,i101_80_4_6_1i,i101_80_4i,h,11
250,i101_80_4_6_2i,i101_80_4i,h,11
251,i101_80_4_7i,i101_80_4i,c,11
252,i101_80_4_7_1i,i101_80_4i,h,11
253,i101_80_4_8i,i101_80_4i,c,11
254,i101_80_4_8_1i,i101_80_4i,h,11
255,i101_80_4_9i,i101_80_4i,c,11
256,i1024_57_3_10i,i1024_57_3i,c,12
257,i1024_57_3_11i,i1024_57_3i,c,12
258,i1024_57_3_12i,i1024_57_3i,cl,12
259,i1024_57_3_13i,i1024_57_3i,c,12
260,i1024_57_3_14i,i1024_57_3i,cl,12
261,i1024_57_3_15i,i1024_57_3i,c,12
262,i1024_57_3_16i,i1024_57_3i,cl,12
263,i1024_57_3_17i,i1024_57_3i,cl,12
264,i1024_57_3_18i,i1024_57_3i,cl,12
265,i1024_57_3_1i,i1024_57_3i,cl,12
266,i1024_57_3_2i,i1024_57_3i,c,12
267,i1024_57_3_2_1i,i1024_57_3i,h,12
268,i1024_57_3_3i,i1024_57_3i,c,12
269,i1024_57_3_3_1i,i1024_57_3i,h,12
270,i1024_57_3_4i,i1024_57_3i,o,12
271,i1024_57_3_5i,i1024_57_3i,c,12
272,i1024_57_3_5_1i,i1024_57_3i,h,12
273,i1024_57_3_6i,i1024_57_3i,c,12
274,i1024_57_3_6_1i,i1024_57_3i,h,12
275,i1024_57_3_7i,i1024_57_3i,c,12
276,i1024_57_3_7_1i,i1024_57_3i,h,12
277,i1024_57_3_8i,i1024_57_3i,c,12
278,i1024_57_3_9i,i1024_57_3i,cl,12
279,i103_23_1_10i,i103_23_1i,c,13
280,i103_23_1_10_1i,i103_23_1i,h,13
281,i103_23_1_10_2i,i103_23_1i,h,13
282,i103_23_1_11i,i103_23_1i,c,13
283,i103_23_1_11_1i,i103_23_1i,h,13
284,i103_23_1_11_2i,i103_23_1i,h,13
285,i103_23_1_11_3i,i103_23_1i,h,13
286,i103_23_1_12i,i103_23_1i,c,13
287,i103_23_1_12_1i,i103_23_1i,h,13
288,i103_23_1_12_2i,i103_23_1i,h,13
289,i103_23_1_13i,i103_23_1i,c,13
290,i103_23_1_13_1i,i103_23_1i,h,13
291,i103_23_1_13_2i,i103_23_1i,h,13
292,i103_23_1_14i,i103_23_1i,c,13
293,i103_23_1_14_1i,i103_23_1i,h,13
294,i103_23_1_14_2i,i103_23_1i,h,13
295,i103_23_1_15i,i103_23_1i,c,13
296,i103_23_1_15_1i,i103_23_1i,h,13
297,i103_23_1_15_2i,i103_23_1i,h,13
298,i103_23_1_16i,i103_23_1i,c,13
299,i103_23_1_17i,i103_23_1i,o,13
300,i103_23_1_18i,i103_23_1i,o,13
301,i103_23_1_19i,i103_23_1i,c,13
302,i103_23_1_19_1i,i103_23_1i,h,13
303,i103_23_1_19_2i,i103_23_1i,h,13
304,i103_23_1_1i,i103_23_1i,o,13
305,i103_23_1_20i,i103_23_1i,c,13
306,i103_23_1_20_1i,i103_23_1i,h,13
307,i103_23_1_21i,i103_23_1i,c,13
308,i103_23_1_21_1i,i103_23_1i,h,13
309,i103_23_1_21_2i,i103_23_1i,h,13
310,i103_23_1_22i,i103_23_1i,c,13
311,i103_23_1_22_1i,i103_23_1i,h,13
312,i103_23_1_22_2i,i103_23_1i,h,13
313,i103_23_1_23i,i103_23_1i,c,13
314,i103_23_1_23_1i,i103_23_1i,h,13
