id,molecule_id,activity,logp,mweight
1,i100_02_7i,4.53367,1.91,139.11
2,i100_21_0i,4.56435,1.76,166.131
3,i100_41_4i,5.04986,3.03,106.167
4,i100_42_5i,6.22258,2.89,104.151
5,i100_44_7i,6.04025,2.79,126.585
6,i100_75_4i,7.82244,0.72,114.147
7,i101_14_4i,7.82244,3.47,267.158
8,i101_61_1i,7.82244,4.37,254.375
9,i101_68_8i,6.04025,5.22,250.256
10,i101_77_9i,4.56435,2.18,198.268
11,i101_80_4i,7.82244,2.22,200.24
12,i1024_57_3i,8.85652,4.91,389.319
13,i103_23_1i,6.04025,8.12,370.57
14,i104_94_9i,6.04025,1.16,123.154
15,i105_67_9i,4.56435,2.61,122.166
16,i106_42_3i,6.04025,3.09,106.167
17,i106_44_5i,2.14007,2.06,108.139
18,i106_46_7i,7.82244,3.28,147.004
19,i106_50_3i,6.04025,-0.39,108.143
20,i106_51_4i,4.10264,0.25,108.096
21,i106_88_7i,6.04025,0.86,72.1062
22,i106_89_8i,6.04025,0.63,92.5245
23,i106_93_4i,7.82244,2.01,199.956
24,i106_99_0i,6.04025,2.03,54.0914
25,i107_02_8i,6.04025,0.19,56.0636
26,i107_05_1i,6.04025,1.93,76.5255
27,i107_06_2i,8.1197,1.83,98.9596
28,i107_13_1i,5.67332,0.21,53.0637
29,i107_18_6i,4.56435,0.21,58.0794
30,i107_21_1i,5.12396,-1.2,62.0674
31,i107_30_2i,6.04025,0.32,80.5135
32,i108_10_1i,4.56435,1.16,100.16
33,i108_38_3i,6.04025,3.09,106.167
34,i108_39_4i,5.91889,2.06,108.139
35,i108_45_2i,6.04025,-0.39,108.143
36,i108_60_1i,7.77317,2.39,171.066
37,i108_78_1i,7.82244,-0.38,126.122
38,i108_88_3i,5.743,2.54,92.1402
39,i108_90_7i,7.8694,2.64,112.559
40,i108_95_2i,3.80666,1.51,94.1124
41,i109_86_4i,6.04025,-0.91,76.0942
42,i110_00_9i,6.04025,1.36,68.0746
43,i110_80_5i,6.04025,-0.42,90.121
44,i110_82_7i,7.82244,3.18,84.1608
45,i110_86_1i,4.56435,0.8,79.1015
46,i1116_54_7i,7.70526,-1.28,134.134
47,i111_42_2i,4.51305,-1.71,105.136
48,i111_44_4i,7.82244,1.56,143.012
49,i111_76_2i,6.04025,0.57,118.175
50,i111_90_0i,6.04025,-0.69,134.174
51,i1120_71_4i,6.04025,-0.28,122.143
52,i114_26_1i,6.04025,1.9,209.244
53,i115_02_6i,6.04025,-2.36,173.127
54,i115_07_1i,6.04025,1.68,42.0804
55,i115_29_7i,5.2575,3.84,406.927
56,i1162_65_8i,6.04025,1.23,312.276
57,i1163_19_5i,8.78569,12.11,1019.64
58,i116_06_3i,8.42771,1.36,190.266
59,i117_79_3i,6.04025,2.43,223.23
60,i117_81_7i,5.81413,8.39,390.56
61,i117_84_0i,6.04025,8.54,390.56
62,i118_74_1i,10.5104,5.86,284.784
63,i118_96_7i,7.82244,1.99,227.132
64,i119_90_4i,7.82244,2.08,244.292
65,i119_93_7i,4.56435,4.35,178.233
66,i120_12_7i,8.71932,3.37,162.187
67,i120_58_1i,6.04025,1.66,194.185
68,i120_61_6i,6.04025,1.66,194.185
69,i120_71_8i,7.82244,1.7,137.181
70,i120_80_9i,4.56435,1.03,110.111
71,i120_82_1i,7.82244,3.93,181.449
72,i120_83_2i,4.88922,2.8,163.003
73,i121_14_2i,7.82244,2.18,182.134
74,i121_69_7i,7.82244,2.17,121.182
75,i121_75_5i,6.50429,2.29,330.36
76,i122_39_4i,6.04025,3.29,169.226
77,i122_66_7i,7.82244,3.06,184.241
78,i123_31_9i,4.56435,1.03,110.111
79,i123_38_6i,4.56435,0.33,58.0794
80,i123_72_8i,4.56435,0.82,72.1062
81,i123_73_9i,4.56435,0.6,70.0904
82,i123_91_1i,7.82244,-0.32,88.1052
83,i124_40_3i,3.7013,-0.17,45.0843
