id,molecule_id,activity,mweight,atom_id,type,bond_types,rela_atom_id,group_id,group_type,logp
1,i100_02_7i,4.53367,139.11,i100_02_7_10_1i|i100_02_7_10i|i100_02_7_1i|i100_02_7_2i|i100_02_7_3i|i100_02_7_4i|i100_02_7_5_1i|i100_02_7_5i|i100_02_7_6_1i|i100_02_7_6i|i100_02_7_7i|i100_02_7_8_1i|i100_02_7_8i|i100_02_7_9_1i|i100_02_7_9i,c|h|n|o,1|1|2|1|7|2|7,i100_02_7_10_1i|i100_02_7_10i|i100_02_7_5i|i100_02_7_10i|i100_02_7_9_1i|i100_02_7_2i|i100_02_7_3i|i100_02_7_4i|i100_02_7_5_1i|i100_02_7_6i|i100_02_7_6_1i|i100_02_7_7i|i100_02_7_8_1i|i100_02_7_8i|i100_02_7_9i,g1011|g1321|g522|g7,benzene|six_ring|nitro|phenol,1.91
2,i100_21_0i,4.56435,166.131,i100_21_0_10i|i100_21_0_11_1i|i100_21_0_11i|i100_21_0_12_1i|i100_21_0_12i|i100_21_0_1i|i100_21_0_2i|i100_21_0_3_1i|i100_21_0_3i|i100_21_0_4i|i100_21_0_5_1i|i100_21_0_5i|i100_21_0_6_1i|i100_21_0_6i|i100_21_0_7i|i100_21_0_8_1i|i100_21_0_8i|i100_21_0_9i,c|h|o,1|1|2|1|7|2|7,i100_21_0_10i|i100_21_0_11i|i100_21_0_11_1i|i100_21_0_12_1i|i100_21_0_12i|i100_21_0_5i|i100_21_0_12i|i100_21_0_8_1i|i100_21_0_2i|i100_21_0_3_1i|i100_21_0_3i|i100_21_0_4i|i100_21_0_5_1i|i100_21_0_6i|i100_21_0_6_1i|i100_21_0_7i|i100_21_0_8i|i100_21_0_9i,g1012|g1322|g551|g552,benzene|six_ring|carboxylic_acid,1.76
3,i100_41_4i,5.04986,106.167,i100_41_4_1i|i100_41_4_2_1i|i100_41_4_2i|i100_41_4_3_1i|i100_41_4_3i|i100_41_4_4_1i|i100_41_4_4i|i100_41_4_5_1i|i100_41_4_5i|i100_41_4_6_1i|i100_41_4_6i|i100_41_4_7_1i|i100_41_4_7_2i|i100_41_4_7i|i100_41_4_8_1i|i100_41_4_8_2i|i100_41_4_8_3i|i100_41_4_8i,c|h,1|1|7,i100_41_4_2_1i|i100_41_4_3i|i100_41_4_2i|i100_41_4_6i|i100_41_4_7i|i100_41_4_3_1i|i100_41_4_4i|i100_41_4_4_1i|i100_41_4_5i|i100_41_4_5_1i|i100_41_4_6i|i100_41_4_6_1i|i100_41_4_7_1i|i100_41_4_7_2i|i100_41_4_8i|i100_41_4_8_1i|i100_41_4_8_2i|i100_41_4_8_3i,g1013|g1323|g48,benzene|six_ring|methyl,3.03
4,i100_42_5i,6.22258,104.151,i100_42_5_1i|i100_42_5_2_1i|i100_42_5_2i|i100_42_5_3_1i|i100_42_5_3i|i100_42_5_4_1i|i100_42_5_4i|i100_42_5_5_1i|i100_42_5_5i|i100_42_5_6_1i|i100_42_5_6i|i100_42_5_7_1i|i100_42_5_7i|i100_42_5_8_1i|i100_42_5_8_2i|i100_42_5_8i,c|h,1|1|2|1|7,i100_42_5_2_1i|i100_42_5_3i|i100_42_5_2i|i100_42_5_6i|i100_42_5_7i|i100_42_5_3_1i|i100_42_5_4i|i100_42_5_4_1i|i100_42_5_5i|i100_42_5_5_1i|i100_42_5_6i|i100_42_5_6_1i|i100_42_5_7_1i|i100_42_5_8i|i100_42_5_8_1i|i100_42_5_8_2i,g1014|g1324,benzene|six_ring,2.89
5,i100_44_7i,6.04025,126.585,i100_44_7_1i|i100_44_7_2_1i|i100_44_7_2i|i100_44_7_3_1i|i100_44_7_3i|i100_44_7_4_1i|i100_44_7_4i|i100_44_7_5_1i|i100_44_7_5i|i100_44_7_6_1i|i100_44_7_6i|i100_44_7_7_1i|i100_44_7_7_2i|i100_44_7_7i|i100_44_7_8i,c|cl|h,1|1|7,i100_44_7_2_1i|i100_44_7_3i|i100_44_7_2i|i100_44_7_6i|i100_44_7_7i|i100_44_7_3_1i|i100_44_7_4i|i100_44_7_4_1i|i100_44_7_5i|i100_44_7_5_1i|i100_44_7_6i|i100_44_7_6_1i|i100_44_7_7_1i|i100_44_7_7_2i|i100_44_7_8i,g1015|g1325|g648,alkyl_halide|benzene|six_ring,2.79
6,i100_75_4i,7.82244,114.147,i100_75_4_1i|i100_75_4_2i|i100_75_4_3i|i100_75_4_4_1i|i100_75_4_4_2i|i100_75_4_4i|i100_75_4_5_1i|i100_75_4_5_2i|i100_75_4_5i|i100_75_4_6_1i|i100_75_4_6_2i|i100_75_4_6i|i100_75_4_7_1i|i100_75_4_7_2i|i100_75_4_7i|i100_75_4_8_1i|i100_75_4_8_2i|i100_75_4_8i,c|h|n|o,1|2,i100_75_4_2i|i100_75_4_3i|i100_75_4_4_1i|i100_75_4_4_2i|i100_75_4_5i|i100_75_4_4i|i100_75_4_8i|i100_75_4_5_1i|i100_75_4_5_2i|i100_75_4_6i|i100_75_4_6_1i|i100_75_4_6_2i|i100_75_4_7i|i100_75_4_7_1i|i100_75_4_7_2i|i100_75_4_8i|i100_75_4_8_1i|i100_75_4_8_2i,g1308|g1326|g1308|g1326|g310,amine|non_ar_hetero_6_ring|six_ring|non_ar_hetero_6_ring|six_ring,0.72
7,i101_14_4i,7.82244,267.158,i101_14_4_1_1i|i101_14_4_1_2i|i101_14_4_10_1i|i101_14_4_10i|i101_14_4_11i|i101_14_4_12_1i|i101_14_4_12_2i|i101_14_4_12i|i101_14_4_13i|i101_14_4_14i|i101_14_4_15_1i|i101_14_4_15i|i101_14_4_16i|i101_14_4_17_1i|i101_14_4_17i|i101_14_4_1i|i101_14_4_2i|i101_14_4_3i|i101_14_4_4_1i|i101_14_4_4i|i101_14_4_5i|i101_14_4_6_1i|i101_14_4_6i|i101_14_4_7_1i|i101_14_4_7_2i|i101_14_4_7i|i101_14_4_8i|i101_14_4_9_1i|i101_14_4_9i,c|cl|h|n,1|1|7|7,i101_14_4_1_1i|i101_14_4_1_2i|i101_14_4_2i|i101_14_4_10_1i|i101_14_4_11i|i101_14_4_10i|i101_14_4_9_1i|i101_14_4_12_1i|i101_14_4_12_2i|i101_14_4_12i|i101_14_4_13i|i101_14_4_14i|i101_14_4_15i|i101_14_4_15_1i|i101_14_4_15i|i101_14_4_9i|i101_14_4_16i|i101_14_4_4i|i101_14_4_17_1i|i101_14_4_17i|i101_14_4_3i|i101_14_4_17i|i101_14_4_6_1i|i101_14_4_4_1i|i101_14_4_5i|i101_14_4_6i|i101_14_4_7i|i101_14_4_7_1i|i101_14_4_7_2i|i101_14_4_8i,g1016|g1327|g1017|g1328|g311|g312|g882|g883,amine|ar_halide|benzene|six_ring,3.47
8,i101_61_1i,7.82244,254.375,i101_61_1_10_1i|i101_61_1_10i|i101_61_1_11i|i101_61_1_12i|i101_61_1_13_1i|i101_61_1_13_2i|i101_61_1_13_3i|i101_61_1_13i|i101_61_1_14_1i|i101_61_1_14_2i|i101_61_1_14_3i|i101_61_1_14i|i101_61_1_15_1i|i101_61_1_15i|i101_61_1_16_1i|i101_61_1_16i|i101_61_1_17_1i|i101_61_1_17i|i101_61_1_18_1i|i101_61_1_18_2i|i101_61_1_18_3i|i101_61_1_18i|i101_61_1_19_1i|i101_61_1_19_2i|i101_61_1_19_3i|i101_61_1_19i|i101_61_1_1i|i101_61_1_2i|i101_61_1_3_1i|i101_61_1_3i|i101_61_1_4_1i|i101_61_1_4i|i101_61_1_5i|i101_61_1_6_1i|i101_61_1_6i|i101_61_1_7_1i|i101_61_1_7_2i|i101_61_1_7i|i101_61_1_8i|i101_61_1_9_1i|i101_61_1_9i,c|h|n,1|1|7|7,i101_61_1_10_1i|i101_61_1_11i|i101_61_1_10i|i101_61_1_9_1i|i101_61_1_12i|i101_61_1_15i|i101_61_1_13_1i|i101_61_1_13_2i|i101_61_1_13_3i|i101_61_1_13i|i101_61_1_14i|i101_61_1_14_1i|i101_61_1_14_2i|i101_61_1_14_3i|i101_61_1_15_1i|i101_61_1_16i|i101_61_1_16_1i|i101_61_1_16i|i101_61_1_9i|i101_61_1_17_1i|i101_61_1_17i|i101_61_1_3i|i101_61_1_17i|i101_61_1_6_1i|i101_61_1_18_1i|i101_61_1_18_2i|i101_61_1_18_3i|i101_61_1_18i|i101_61_1_19i|i101_61_1_2i|i101_61_1_19_1i|i101_61_1_19_2i|i101_61_1_19_3i|i101_61_1_3_1i|i101_61_1_4i|i101_61_1_4_1i|i101_61_1_5i|i101_61_1_6i|i101_61_1_7i|i101_61_1_7_1i|i101_61_1_7_2i|i101_61_1_8i,g1018|g1329|g1019|g1330|g313|g314|g49|g50|g51|g52,amine|benzene|six_ring|methyl,4.37
9,i101_68_8i,6.04025,250.256,i101_68_8_10i|i101_68_8_11_1i|i101_68_8_11i|i101_68_8_12_1i|i101_68_8_12i|i101_68_8_13i|i101_68_8_14i|i101_68_8_15i|i101_68_8_16i|i101_68_8_17_1i|i101_68_8_17i|i101_68_8_18_1i|i101_68_8_18i|i101_68_8_19_1i|i101_68_8_19i|i101_68_8_1i|i101_68_8_2i|i101_68_8_3i|i101_68_8_4i|i101_68_8_5_1i|i101_68_8_5i|i101_68_8_6_1i|i101_68_8_6i|i101_68_8_7i|i101_68_8_8_1i|i101_68_8_8i|i101_68_8_9_1i|i101_68_8_9_2i|i101_68_8_9i,c|h|n|o,1|1|7|2|7,i101_68_8_10i|i101_68_8_9_1i|i101_68_8_9_2i|i101_68_8_11_1i|i101_68_8_12i|i101_68_8_11i|i101_68_8_18i|i101_68_8_12_1i|i101_68_8_13i|i101_68_8_14i|i101_68_8_17i|i101_68_8_15i|i101_68_8_16i|i101_68_8_17_1i|i101_68_8_18i|i101_68_8_18_1i|i101_68_8_19_1i|i101_68_8_19i|i101_68_8_5i|i101_68_8_19i|i101_68_8_8_1i|i101_68_8_2i|i101_68_8_3i|i101_68_8_4i|i101_68_8_5_1i|i101_68_8_6i|i101_68_8_6_1i|i101_68_8_7i|i101_68_8_8i|i101_68_8_9i,g1000|g1020|g1331|g1021|g1332|g999,benzene|six_ring|c2n,5.22
10,i101_77_9i,4.56435,198.268,i101_77_9_1_1i|i101_77_9_1_2i|i101_77_9_10_1i|i101_77_9_10i|i101_77_9_11i|i101_77_9_12_1i|i101_77_9_12_2i|i101_77_9_12i|i101_77_9_13_1i|i101_77_9_13i|i101_77_9_14_1i|i101_77_9_14i|i101_77_9_15_1i|i101_77_9_15i|i101_77_9_1i|i101_77_9_2i|i101_77_9_3_1i|i101_77_9_3i|i101_77_9_4_1i|i101_77_9_4i|i101_77_9_5i|i101_77_9_6_1i|i101_77_9_6i|i101_77_9_7_1i|i101_77_9_7_2i|i101_77_9_7i|i101_77_9_8i|i101_77_9_9_1i|i101_77_9_9i,c|h|n,1|1|7|7,i101_77_9_1_1i|i101_77_9_1_2i|i101_77_9_2i|i101_77_9_10_1i|i101_77_9_11i|i101_77_9_10i|i101_77_9_9_1i|i101_77_9_12_1i|i101_77_9_12_2i|i101_77_9_12i|i101_77_9_13i|i101_77_9_13_1i|i101_77_9_14i|i101_77_9_14_1i|i101_77_9_14i|i101_77_9_9i|i101_77_9_15_1i|i101_77_9_15i|i101_77_9_3i|i101_77_9_15i|i101_77_9_6_1i|i101_77_9_3_1i|i101_77_9_4i|i101_77_9_4_1i|i101_77_9_5i|i101_77_9_6i|i101_77_9_7i|i101_77_9_7_1i|i101_77_9_7_2i|i101_77_9_8i,g1022|g1333|g1023|g1334|g315|g316,amine|benzene|six_ring,2.18
