id,atom_id,group_id,fpk_group_id,fpk_atom_id
1,i100_02_7_10i,g1011,17,1
2,i100_02_7_10i,g1321,361,1
3,i100_02_7_1i,g7,1404,3
4,i100_02_7_2i,g7,1404,4
5,i100_02_7_3i,g7,1404,5
6,i100_02_7_4i,g1011,17,6
7,i100_02_7_4i,g1321,361,6
8,i100_02_7_5i,g1011,17,7
9,i100_02_7_5i,g1321,361,7
10,i100_02_7_6i,g1011,17,9
11,i100_02_7_6i,g1321,361,9
12,i100_02_7_7i,g1011,17,11
13,i100_02_7_7i,g1321,361,11
14,i100_02_7_8i,g522,1208,12
15,i100_02_7_8_1i,g522,1208,13
16,i100_02_7_9i,g1011,17,14
17,i100_02_7_9i,g1321,361,14
18,i100_21_0_10i,g552,1241,16
19,i100_21_0_11i,g552,1241,17
20,i100_21_0_11_1i,g552,1241,18
21,i100_21_0_12i,g1012,18,19
22,i100_21_0_12i,g1322,362,19
23,i100_21_0_1i,g551,1240,21
24,i100_21_0_2i,g551,1240,22
25,i100_21_0_3i,g551,1240,23
26,i100_21_0_3_1i,g551,1240,24
27,i100_21_0_4i,g1012,18,25
28,i100_21_0_4i,g1322,362,25
29,i100_21_0_5i,g1012,18,26
30,i100_21_0_5i,g1322,362,26
31,i100_21_0_6i,g1012,18,28
32,i100_21_0_6i,g1322,362,28
33,i100_21_0_7i,g1012,18,30
34,i100_21_0_7i,g1322,362,30
35,i100_21_0_8i,g1012,18,31
36,i100_21_0_8i,g1322,362,31
37,i100_21_0_9i,g552,1241,33
38,i100_41_4_1i,g1013,19,34
39,i100_41_4_1i,g1323,363,34
40,i100_41_4_2i,g1013,19,35
41,i100_41_4_2i,g1323,363,35
42,i100_41_4_3i,g1013,19,37
43,i100_41_4_3i,g1323,363,37
44,i100_41_4_4i,g1013,19,39
45,i100_41_4_4i,g1323,363,39
46,i100_41_4_5i,g1013,19,41
47,i100_41_4_5i,g1323,363,41
48,i100_41_4_6i,g1013,19,43
49,i100_41_4_6i,g1323,363,43
50,i100_41_4_8i,g48,1160,48
51,i100_41_4_8_1i,g48,1160,49
52,i100_41_4_8_2i,g48,1160,50
53,i100_41_4_8_3i,g48,1160,51
54,i100_42_5_1i,g1014,20,52
55,i100_42_5_1i,g1324,364,52
56,i100_42_5_2i,g1014,20,53
57,i100_42_5_2i,g1324,364,53
58,i100_42_5_3i,g1014,20,55
59,i100_42_5_3i,g1324,364,55
60,i100_42_5_4i,g1014,20,57
61,i100_42_5_4i,g1324,364,57
62,i100_42_5_5i,g1014,20,59
63,i100_42_5_5i,g1324,364,59
64,i100_42_5_6i,g1014,20,61
65,i100_42_5_6i,g1324,364,61
66,i100_44_7_1i,g1015,21,68
67,i100_44_7_1i,g1325,365,68
68,i100_44_7_2i,g1015,21,69
69,i100_44_7_2i,g1325,365,69
70,i100_44_7_3i,g1015,21,71
71,i100_44_7_3i,g1325,365,71
72,i100_44_7_4i,g1015,21,73
73,i100_44_7_4i,g1325,365,73
74,i100_44_7_5i,g1015,21,75
75,i100_44_7_5i,g1325,365,75
76,i100_44_7_6i,g1015,21,77
77,i100_44_7_6i,g1325,365,77
78,i100_44_7_8i,g648,1347,82
79,i100_75_4_3i,g1308,346,85
80,i100_75_4_3i,g1326,366,85
81,i100_75_4_3i,g310,973,85
82,i100_75_4_4i,g1308,346,86
83,i100_75_4_4i,g1326,366,86
84,i100_75_4_5i,g1308,346,89
85,i100_75_4_5i,g1326,366,89
86,i100_75_4_6i,g1308,346,92
87,i100_75_4_6i,g1326,366,92
88,i100_75_4_7i,g1308,346,95
89,i100_75_4_7i,g1326,366,95
90,i100_75_4_8i,g1308,346,98
91,i100_75_4_8i,g1326,366,98
92,i101_14_4_10i,g1016,22,101
93,i101_14_4_10i,g1327,367,101
94,i101_14_4_11i,g1016,22,103
95,i101_14_4_11i,g1327,367,103
96,i101_14_4_12i,g312,975,104
97,i101_14_4_12_1i,g312,975,105
98,i101_14_4_12_2i,g312,975,106
99,i101_14_4_13i,g1016,22,107
100,i101_14_4_13i,g1327,367,107
101,i101_14_4_14i,g882,1607,108
102,i101_14_4_15i,g1016,22,109
103,i101_14_4_15i,g1327,367,109
104,i101_14_4_16i,g883,1608,111
105,i101_14_4_17i,g1017,23,112
106,i101_14_4_17i,g1328,368,112
107,i101_14_4_1i,g311,974,114
108,i101_14_4_1_1i,g311,974,115
109,i101_14_4_1_2i,g311,974,116
110,i101_14_4_2i,g1017,23,117
111,i101_14_4_2i,g1328,368,117
112,i101_14_4_3i,g1017,23,118
113,i101_14_4_3i,g1328,368,118
114,i101_14_4_4i,g1017,23,119
115,i101_14_4_4i,g1328,368,119
116,i101_14_4_5i,g1017,23,121
117,i101_14_4_5i,g1328,368,121
118,i101_14_4_6i,g1017,23,122
119,i101_14_4_6i,g1328,368,122
120,i101_14_4_8i,g1016,22,127
121,i101_14_4_8i,g1327,367,127
122,i101_14_4_9i,g1016,22,128
123,i101_14_4_9i,g1327,367,128
124,i101_61_1_10i,g1018,24,130
125,i101_61_1_10i,g1329,369,130
126,i101_61_1_11i,g1018,24,132
127,i101_61_1_11i,g1329,369,132
128,i101_61_1_12i,g314,977,133
129,i101_61_1_13i,g49,1171,134
130,i101_61_1_13_1i,g49,1171,135
131,i101_61_1_13_2i,g49,1171,136
132,i101_61_1_13_3i,g49,1171,137
133,i101_61_1_14i,g50,1183,138
134,i101_61_1_14_1i,g50,1183,139
135,i101_61_1_14_2i,g50,1183,140
136,i101_61_1_14_3i,g50,1183,141
137,i101_61_1_15i,g1018,24,142
138,i101_61_1_15i,g1329,369,142
139,i101_61_1_16i,g1018,24,144
140,i101_61_1_16i,g1329,369,144
141,i101_61_1_17i,g1019,25,146
142,i101_61_1_17i,g1330,371,146
143,i101_61_1_18i,g51,1194,148
144,i101_61_1_18_1i,g51,1194,149
145,i101_61_1_18_2i,g51,1194,150
146,i101_61_1_18_3i,g51,1194,151
147,i101_61_1_19i,g52,1205,152
148,i101_61_1_19_1i,g52,1205,153
149,i101_61_1_19_2i,g52,1205,154
150,i101_61_1_19_3i,g52,1205,155
151,i101_61_1_1i,g313,976,156
152,i101_61_1_2i,g1019,25,157
153,i101_61_1_2i,g1330,371,157
154,i101_61_1_3i,g1019,25,158
155,i101_61_1_3i,g1330,371,158
156,i101_61_1_4i,g1019,25,160
157,i101_61_1_4i,g1330,371,160
158,i101_61_1_5i,g1019,25,162
159,i101_61_1_5i,g1330,371,162
160,i101_61_1_6i,g1019,25,163
161,i101_61_1_6i,g1330,371,163
162,i101_61_1_8i,g1018,24,168
163,i101_61_1_8i,g1329,369,168
164,i101_61_1_9i,g1018,24,169
165,i101_61_1_9i,g1329,369,169
166,i101_68_8_10i,g1020,27,171
167,i101_68_8_10i,g1331,372,171
168,i101_68_8_11i,g1020,27,172
169,i101_68_8_11i,g1331,372,172
170,i101_68_8_12i,g1020,27,174
171,i101_68_8_12i,g1331,372,174
172,i101_68_8_13i,g1020,27,176
173,i101_68_8_13i,g1331,372,176
174,i101_68_8_14i,g1000,5,177
175,i101_68_8_15i,g1000,5,178
176,i101_68_8_17i,g1020,27,180
177,i101_68_8_17i,g1331,372,180
178,i101_68_8_18i,g1020,27,182
179,i101_68_8_18i,g1331,372,182
180,i101_68_8_19i,g1021,28,184
181,i101_68_8_19i,g1332,373,184
182,i101_68_8_2i,g999,1736,187
183,i101_68_8_3i,g999,1736,188
184,i101_68_8_4i,g1021,28,189
185,i101_68_8_4i,g1332,373,189
186,i101_68_8_5i,g1021,28,190
187,i101_68_8_5i,g1332,373,190
188,i101_68_8_6i,g1021,28,192
189,i101_68_8_6i,g1332,373,192
190,i101_68_8_7i,g1021,28,194
191,i101_68_8_7i,g1332,373,194
192,i101_68_8_8i,g1021,28,195
193,i101_68_8_8i,g1332,373,195
194,i101_77_9_10i,g1022,29,200
