id,group_id,type
1,g0,sulfo
2,g1,sulfo
3,g10,nitro
4,g100,methyl
5,g1000,c2n
6,g1001,c2n
7,g1002,c2n
8,g1003,c2n
9,g1004,c2n
10,g1005,c2n
11,g1006,c2n
12,g1007,c2n
13,g1008,c2n
14,g1009,c2n
15,g101,methyl
16,g1010,c2n
17,g1011,benzene
18,g1012,benzene
19,g1013,benzene
20,g1014,benzene
21,g1015,benzene
22,g1016,benzene
23,g1017,benzene
24,g1018,benzene
25,g1019,benzene
26,g102,methyl
27,g1020,benzene
28,g1021,benzene
29,g1022,benzene
30,g1023,benzene
31,g1024,benzene
32,g1025,benzene
33,g1026,benzene
34,g1027,benzene
35,g1028,benzene
36,g1029,benzene
37,g103,methyl
38,g1030,benzene
39,g1031,benzene
40,g1032,benzene
41,g1033,benzene
42,g1034,benzene
43,g1035,benzene
44,g1036,benzene
45,g1037,benzene
46,g1038,benzene
47,g1039,benzene
48,g104,methyl
49,g1040,benzene
50,g1041,benzene
51,g1042,benzene
52,g1043,benzene
53,g1044,benzene
54,g1045,benzene
55,g1046,benzene
56,g1047,benzene
57,g1048,benzene
58,g1049,benzene
59,g105,methyl
60,g1050,benzene
61,g1051,benzene
62,g1052,benzene
63,g1053,benzene
64,g1054,benzene
65,g1055,benzene
66,g1056,benzene
67,g1057,benzene
68,g1058,benzene
69,g1059,benzene
70,g106,methyl
71,g1060,benzene
72,g1061,benzene
73,g1062,benzene
74,g1063,benzene
75,g1064,benzene
76,g1065,benzene
77,g1066,benzene
78,g1067,benzene
79,g1068,benzene
80,g1069,benzene
81,g107,methyl
82,g1070,benzene
83,g1071,benzene
84,g1072,benzene
85,g1073,benzene
86,g1074,benzene
87,g1075,benzene
88,g1076,benzene
89,g1077,benzene
90,g1078,benzene
91,g1079,benzene
92,g108,methyl
93,g1080,benzene
94,g1081,benzene
95,g1082,benzene
96,g1083,benzene
97,g1084,benzene
98,g1085,benzene
99,g1086,benzene
100,g1087,benzene
101,g1088,benzene
102,g1089,benzene
103,g109,methyl
104,g1090,benzene
105,g1091,benzene
106,g1092,benzene
107,g1093,benzene
108,g1094,benzene
109,g1095,benzene
110,g1096,benzene
111,g1097,benzene
112,g1098,benzene
113,g1099,benzene
114,g11,nitro
115,g110,methyl
116,g1100,benzene
117,g1101,benzene
118,g1102,benzene
119,g1103,benzene
120,g1104,benzene
121,g1105,benzene
122,g1106,benzene
123,g1107,benzene
124,g1108,benzene
125,g1109,benzene
126,g111,methyl
127,g1110,benzene
128,g1111,benzene
129,g1112,benzene
130,g1113,benzene
131,g1114,benzene
132,g1115,benzene
133,g1116,benzene
134,g1117,benzene
135,g1118,benzene
136,g1119,benzene
137,g112,methyl
138,g1120,benzene
139,g1121,benzene
140,g1122,benzene
141,g1123,benzene
142,g1124,benzene
143,g1125,benzene
144,g1126,benzene
145,g1127,benzene
146,g1128,benzene
147,g1129,benzene
148,g113,methyl
149,g1130,benzene
150,g1131,benzene
151,g1132,benzene
152,g1133,benzene
153,g1134,benzene
154,g1135,benzene
155,g1136,benzene
156,g1137,benzene
157,g1138,benzene
158,g1139,benzene
159,g114,methyl
160,g1140,benzene
161,g1141,benzene
162,g1142,benzene
163,g1143,benzene
164,g1144,benzene
165,g1145,benzene
166,g1146,benzene
167,g1147,benzene
168,g1148,benzene
169,g1149,benzene
170,g115,methyl
171,g1150,benzene
172,g1151,benzene
173,g1152,benzene
174,g1153,benzene
175,g1154,benzene
176,g1155,benzene
177,g1156,benzene
178,g1157,benzene
179,g1158,benzene
180,g1159,benzene
181,g116,methyl
182,g1160,benzene
183,g1161,benzene
184,g1162,benzene
185,g1163,benzene
186,g1164,benzene
187,g1165,benzene
188,g1166,benzene
189,g1167,benzene
190,g1168,benzene
191,g1169,benzene
192,g117,methyl
193,g1170,benzene
194,g1171,benzene
195,g1172,benzene
196,g1173,benzene
197,g1174,benzene
198,g1175,benzene
199,g1176,benzene
200,g1177,benzene
201,g1178,benzene
202,g1179,benzene
203,g118,methyl
204,g1180,benzene
205,g1181,benzene
206,g1182,benzene
207,g1183,benzene
208,g1184,benzene
209,g1185,benzene
210,g1186,benzene
211,g1187,benzene
212,g1188,benzene
213,g1189,benzene
214,g119,methyl
