id,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
0,tt0040053,tvSeries,The Ed Sullivan Show,Toast of the Town,0.0,1948.0,1971.0,60,"Music,Talk-Show"
1,tt0041023,tvSeries,Fireside Theatre,Fireside Theatre,0.0,1949.0,1955.0,30,Drama
2,tt0041039,tvSeries,Mama,Mama,0.0,1949.0,1957.0,30,"Comedy,Drama,Family"
3,tt0042092,tvSeries,"Charlie Wild, Private Detective","Charlie Wild, Private Detective",0.0,1950.0,1952.0,30,"Crime,Drama"
4,tt0042160,tvSeries,Van Camp's Little Show,Van Camp's Little Show,0.0,1950.0,1951.0,15,Music
5,tt0043214,tvSeries,Love of Life,Love of Life,0.0,1951.0,1980.0,25,"Drama,Romance"
6,tt0043228,tvSeries,Schlitz Playhouse,Schlitz Playhouse of Stars,0.0,1951.0,1959.0,30,"Comedy,Drama"
7,tt0044265,tvSeries,Guiding Light,The Guiding Light,0.0,1952.0,2009.0,60,"Drama,Romance"
8,tt0044270,tvSeries,I've Got a Secret,I've Got a Secret,0.0,1952.0,1967.0,30,"Family,Game-Show"
9,tt0044294,tvSeries,Steve Randall,Hollywood Off-Beat,0.0,1952.0,1953.0,30,Drama
10,tt0044298,tvSeries,Today,Today,0.0,1952.0,,240,"News,Talk-Show"
11,tt0045395,tvSeries,General Electric Theater,General Electric Theater,0.0,1953.0,1962.0,30,Drama
12,tt0045410,tvSeries,The Danny Thomas Show,Make Room for Daddy,0.0,1953.0,1965.0,30,"Comedy,Family"
13,tt0045414,tvSeries,The Ray Milland Show,Meet Mr. McNutley,0.0,1953.0,1955.0,30,Comedy
14,tt0046583,tvSeries,The Brighter Day,The Brighter Day,0.0,1954.0,1962.0,25,Drama
15,tt0046589,tvSeries,Concerning Miss Marlowe,Concerning Miss Marlowe,0.0,1954.0,,,Drama
16,tt0046592,tvSeries,December Bride,December Bride,0.0,1954.0,1959.0,30,Comedy
17,tt0046614,tvSeries,The Jo Stafford Show,The Jo Stafford Show,0.0,1954.0,1955.0,15,Music
18,tt0046641,tvSeries,The Secret Storm,The Secret Storm,0.0,1954.0,1974.0,30,"Drama,Romance"
19,tt0046652,tvSeries,The Tonight Show,Tonight!,0.0,1953.0,1957.0,105,"Comedy,Music,Talk-Show"
20,tt0046659,tvSeries,The Vise,The Vise,0.0,1954.0,1961.0,30,"Crime,Drama,Thriller"
21,tt0046667,tvSeries,The World of Mr. Sweeney,The World of Mr. Sweeney,0.0,1954.0,1955.0,15,Comedy
22,tt0047714,tvSeries,The Linkletter Show,House Party,0.0,1952.0,1970.0,30,Family
23,tt0047718,tvSeries,Captain Kangaroo,Captain Kangaroo,0.0,1955.0,1992.0,60,Family
