tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0040053	tvSeries	The Ed Sullivan Show	Toast of the Town	0.0	1948.0	1971.0	60	Music,Talk-Show
tt0041023	tvSeries	Fireside Theatre	Fireside Theatre	0.0	1949.0	1955.0	30	Drama
tt0041039	tvSeries	Mama	Mama	0.0	1949.0	1957.0	30	Comedy,Drama,Family
tt0042092	tvSeries	Charlie Wild, Private Detective	Charlie Wild, Private Detective	0.0	1950.0	1952.0	30	Crime,Drama
tt0042160	tvSeries	Van Camp's Little Show	Van Camp's Little Show	0.0	1950.0	1951.0	15	Music
tt0043214	tvSeries	Love of Life	Love of Life	0.0	1951.0	1980.0	25	Drama,Romance
tt0043228	tvSeries	Schlitz Playhouse	Schlitz Playhouse of Stars	0.0	1951.0	1959.0	30	Comedy,Drama
tt0044265	tvSeries	Guiding Light	The Guiding Light	0.0	1952.0	2009.0	60	Drama,Romance
tt0044270	tvSeries	I've Got a Secret	I've Got a Secret	0.0	1952.0	1967.0	30	Family,Game-Show
tt0044294	tvSeries	Steve Randall	Hollywood Off-Beat	0.0	1952.0	1953.0	30	Drama
tt0044298	tvSeries	Today	Today	0.0	1952.0		240	News,Talk-Show
tt0045395	tvSeries	General Electric Theater	General Electric Theater	0.0	1953.0	1962.0	30	Drama
tt0045410	tvSeries	The Danny Thomas Show	Make Room for Daddy	0.0	1953.0	1965.0	30	Comedy,Family
tt0045414	tvSeries	The Ray Milland Show	Meet Mr. McNutley	0.0	1953.0	1955.0	30	Comedy
tt0046583	tvSeries	The Brighter Day	The Brighter Day	0.0	1954.0	1962.0	25	Drama
tt0046589	tvSeries	Concerning Miss Marlowe	Concerning Miss Marlowe	0.0	1954.0			Drama
tt0046592	tvSeries	December Bride	December Bride	0.0	1954.0	1959.0	30	Comedy
tt0046614	tvSeries	The Jo Stafford Show	The Jo Stafford Show	0.0	1954.0	1955.0	15	Music
tt0046641	tvSeries	The Secret Storm	The Secret Storm	0.0	1954.0	1974.0	30	Drama,Romance
tt0046652	tvSeries	The Tonight Show	Tonight!	0.0	1953.0	1957.0	105	Comedy,Music,Talk-Show
tt0046659	tvSeries	The Vise	The Vise	0.0	1954.0	1961.0	30	Crime,Drama,Thriller
tt0046667	tvSeries	The World of Mr. Sweeney	The World of Mr. Sweeney	0.0	1954.0	1955.0	15	Comedy
tt0047714	tvSeries	The Linkletter Show	House Party	0.0	1952.0	1970.0	30	Family
tt0047718	tvSeries	Captain Kangaroo	Captain Kangaroo	0.0	1955.0	1992.0	60	Family
tt0047752	tvSeries	The Bob Cummings Show	The Bob Cummings Show	0.0	1955.0	1959.0	30	Comedy
tt0047776	tvSeries	Star Stage	Star Stage	0.0	1955.0	1956.0	30	Drama
tt0048845	tvSeries	As the World Turns	As the World Turns	0.0	1956.0	2010.0	60	Drama,Romance
tt0049993	tvSeries	American Bandstand	Bandstand	0.0	1952.0	1989.0	90	Music,Talk-Show
