tconst	directors	writers
tt0040053	nm0595657,nm0942047,nm0453008,nm0695698,nm1070249,nm0666777,nm0777413	nm0036372,nm0181658,nm0828562,nm3487654,nm0925131,nm0107724,nm1232195,nm0695698,nm2964448,nm0037819,nm0081748,nm0795971,nm0915590,nm0432075
tt0041023	nm0936252,nm0718115,nm0580017,nm1213956,nm0076750,nm0013173,nm0240378,nm0290870,nm0168641,nm0000406,nm0713270	nm6403781,nm6184072,nm6323608,nm0040457,nm1494780,nm0046772,nm0046773,nm16361051,nm6718763,nm6319852,nm0067801,nm0071657,nm6447315,nm0076750,nm1424376,nm0089169,nm0091200,nm0094889,nm6225038,nm16360360,nm6501728,nm0001969,nm0104355,nm1028380,nm0122322,nm6429984,nm0123487,nm0152157,nm0154257,nm0002005,nm1498774,nm6158887,nm1198517,nm0169665,nm0172741,nm0173532,nm5967643,nm6289353,nm0177509,nm0178126,nm0178240,nm0185292,nm6462247,nm0193466,nm0205343,nm3429013,nm0206409,nm0206802,nm0211315,nm0002042,nm0234228,nm0250066,nm0266251,nm0268716,nm0268717,nm0001203,nm0287973,nm0290870,nm0292577,nm0293750,nm0313975,nm0314899,nm3297478,nm0319663,nm0321898,nm0325713,nm0325825,nm6665420,nm0341178,nm0344631,nm6549035,nm0353602,nm4288907,nm0354894,nm0361837,nm0362698,nm6231898,nm0366610,nm1485609,nm0370152,nm0370252,nm0371193,nm6177747,nm6211299,nm3254138,nm0394633,nm0399517,nm0401738,nm0413519,nm0414047,nm1397143,nm0414438,nm0422037,nm0426515,nm6211286,nm6434940,nm0431531,nm0441328,nm16361077,nm0448985,nm0449805,nm0455852,nm6210285,nm0460711,nm0463430,nm0213991,nm0486782,nm0488295,nm0497738,nm0500067,nm0504423,nm0504520,nm0506201,nm0513563,nm0514502,nm0520415,nm6326512,nm6726098,nm2436859,nm1058903,nm0550786,nm0552202,nm0552237,nm1066010,nm0996073,nm4014984,nm0575022,nm0576035,nm0580249,nm0592679,nm1965570,nm0615842,nm0622435,nm6663759,nm15218951,nm0642543,nm0643443,nm6263202,nm0658457,nm1713441,nm2402330,nm0677744,nm0680474,nm0000590,nm6222836,nm2247485,nm0718115,nm0724307,nm0733142,nm0733213,nm0738222,nm0739884,nm0740537,nm0742540,nm0761168,nm6369791,nm5579049,nm0794900,nm0798111,nm0802561,nm0806032,nm1056204,nm0818074,nm6294088,nm0820484,nm1023705,nm0834529,nm0842582,nm0852752,nm2271388,nm6411791,nm0990403,nm6569563,nm0870511,nm0873432,nm0877957,nm0880493,nm6508035,nm0881598,nm0883884,nm0888758,nm2389912,nm0896098,nm0907013,nm0911969,nm5576309,nm0912131,nm6250428,nm3206514,nm6253132,nm6253131,nm6658162,nm0918709,nm6637579,nm6492192,nm0928444,nm0928603,nm6259216,nm0931117,nm0934574,nm6291869,nm0936252,nm0941552,nm0958424,nm0051304,nm0887428
tt0041039	nm0625680,nm0724504,nm0001486,nm0343431,nm0567170	nm0300366,nm0285361,nm1563042,nm0606806,nm0743510,nm0860565,nm0408979,nm5540074,nm1497202,nm0929024,nm0171413,nm0736418,nm0432728,nm0576035,nm10691461,nm0740622,nm10683866,nm0448062,nm0531335,nm0262213,nm0262215
tt0042092	nm0884037,nm2299393	nm0963342,nm0077159,nm0205024,nm0258480,nm0495404,nm10624224,nm0632873,nm0860565
tt0042160	nm13720695,nm0626972	
tt0043214	nm0041715,nm1793570,nm0221452,nm0778479,nm0384316,nm0616932,nm0851809,nm0938201	nm0934807,nm1180618,nm1183865,nm2477125,nm0909625,nm1299367,nm0541662,nm0996410,nm0479525,nm11645617,nm0908607,nm0220152,nm0546068,nm0773931,nm0773971,nm0881501,nm0925335,nm0925388,nm0381486,nm0085588,nm0505553,nm10793648,nm1709291,nm2641580,nm0262213,nm1554352,nm0028770,nm0812026,nm0642683,nm0647844,nm0156417,nm0432728
tt0043228	nm0446053,nm0011727,nm0282984,nm0103975,nm0692872,nm0918659,nm0439776,nm0108571,nm0002134,nm0638528,nm0624809,nm0491852,nm0114436,nm0776838,nm0791027,nm0112939,nm0071657,nm0783116,nm0124877,nm0854358,nm0459627,nm0682734,nm0431395,nm0562388,nm0002179,nm0829038,nm0782682,nm0370821,nm0542737,nm0287931,nm0304681,nm0494110,nm0607612,nm0502766,nm0202297,nm0002137,nm0587277,nm0778513,nm0000736,nm0038906,nm5255343,nm0419265,nm0484645,nm0542720,nm0024120,nm0165493,nm0445650,nm0553077,nm0300818,nm0320637,nm0375712,nm0832254,nm0005898,nm0410320,nm0554169,nm0568228,nm0001537,nm0826873,nm0828594,nm0869664,nm0068691,nm0575546,nm0639529,nm0485647,nm0494903,nm0498614,nm0591142,nm0000071,nm0926636	nm0249805,nm0090840,nm0531878,nm0081126,nm0115482,nm0607487,nm0831694,nm0552202,nm5042917,nm0269623,nm0681052,nm0205065,nm0068853,nm0642543,nm0093430,nm0115689,nm0783328,nm2199275,nm0587743,nm0624846,nm0789947,nm0972377,nm0066614,nm0279795,nm0108163,nm0242326,nm0057489,nm0030018,nm0363492,nm0075344,nm0762556,nm2397221,nm0518711,nm0613732,nm0818649,nm0767232,nm2189647,nm0909884,nm0445934,nm1503327,nm0325825,nm0685957,nm0478263,nm0706993,nm0344246,nm0569950,nm0597574,nm0795229,nm0860775,nm0186918,nm0351444,nm0408979,nm0560857,nm0437189,nm0459627,nm0718466,nm0776068,nm0743510,nm2050609,nm0372677,nm0731187,nm0881501,nm1051838,nm0609764,nm1367958,nm0071657,nm1094789,nm0293480,nm0912766,nm6432875,nm0546140,nm1713441,nm0167011,nm0255742,nm3039685,nm1099687,nm0876564,nm0441328,nm0290809,nm0500494,nm0257669,nm0506215,nm1058903,nm0911350,nm0386928,nm0073882,nm0177731,nm0247439,nm0790654,nm0317254,nm0852313,nm0488956,nm0460711,nm0027355,nm0038479,nm0101511,nm0156726,nm0002021,nm0236546,nm0378947,nm0542531,nm2474236,nm1416713,nm0732845,nm0016534,nm0019346,nm0137999,nm6277811,nm1154897,nm0190175,nm0211315,nm0219551,nm0241216,nm0262213,nm0262368,nm5561425,nm1000906,nm0325106,nm1057743,nm0365661,nm0372942,nm0375446,nm0002133,nm2192042,nm15438067,nm0507760,nm6169025,nm0516797,nm0015801,nm0566333,nm0573937,nm0578479,nm0629862,nm6175673,nm0695292,nm0696189,nm0721655,nm0732456,nm0739884,nm6175674,nm0743232,nm0774441,nm0789675,nm6191528,nm0805340,nm0820700,nm6169024,nm0834553,nm0841702,nm6284721,nm0061510,nm0097848,nm6439291,nm0155009,nm0169665,nm6210969,nm0186118,nm0200366,nm0202264,nm6455544,nm6222942,nm0268716,nm0268717,nm0280234,nm1057735,nm6398204,nm6233170,nm4768462,nm0337914,nm4120897,nm0448985,nm0497804,nm6210956,nm0614246,nm2189750,nm6425698,nm0830937,nm0900570,nm2769856,nm3929498,nm0055909,nm0067801,nm0091200,nm6256619,nm0103627,nm0236279,nm0175676,nm2743977,nm0191885,nm0254124,nm0255457,nm0348924,nm1397143,nm6549268,nm0450504,nm2775409,nm0590316,nm0593170,nm6640312,nm6572052,nm2501835,nm0673988,nm6565299,nm6276883,nm0810998,nm2193283,nm6541235,nm0928068,nm2649550,nm3031099,nm3085990,nm2803228,nm3716656,nm0150217,nm6519775,nm6688688,nm6340752,nm6739117,nm0263346,nm2198188,nm1529947,nm0334370,nm2197573,nm0381280,nm8436792,nm6742662,nm0481248,nm0531792,nm0568060,nm1529971,nm1583677,nm2189585,nm0653862,nm2197208,nm0665875,nm0670019,nm0674468,nm0680474,nm1888719,nm0733501,nm6732942,nm0820713,nm1019658,nm6269389,nm6812938,nm3883301,nm6504438,nm0887428,nm0928496,nm2193697,nm0941556,nm0011482,nm0057308,nm1154683,nm6886081,nm0156261,nm0172628,nm0184107,nm0250891,nm0250930,nm5476724,nm6688728,nm0287931,nm0340719,nm0375712,nm3954365,nm3371665,nm0494312,nm0001465,nm6217651,nm6663759,nm3007324,nm0741214,nm2957507,nm0795851,nm0807654,nm0852864,nm6679336,nm0880449,nm0880497,nm12363658,nm6829335,nm3994525,nm0015399,nm0016363,nm2653065,nm0064579,nm0110958,nm0124918,nm2895454,nm0151452,nm0153698,nm0175028,nm0181205,nm0186427,nm0190185,nm0229671,nm0320824,nm0330003,nm0330390,nm0370152,nm0370252,nm2758996,nm0425913,nm0432188,nm0442456,nm0479107,nm1055756,nm0523365,nm2660366,nm0559370,nm6550308,nm0608498,nm0640320,nm0774217,nm0789100,nm7312044,nm0813584,nm2648614,nm0917783,nm0919925,nm0925265,nm0928444,nm0931117,nm0956592,nm5474677,nm2663820,nm3370700,nm0178102,nm0178785,nm1498862,nm0240123,nm0312479,nm6707525,nm0370697,nm0391318,nm1493117,nm0432728,nm0516810,nm5618632,nm7470315,nm0639676,nm0729694,nm0763071,nm0766665,nm0787033,nm0805748,nm0836318,nm2396829,nm0938170,nm7624394,nm0941280,nm6551741,nm0138835,nm0151949,nm0293388,nm0296091,nm0338456,nm0493446,nm1126101,nm0591142,nm0672362,nm0996167,nm0344709
tt0044265	nm0179413,nm1273119,nm0581589,nm0250864,nm0514820,nm1603516,nm1335675,nm1314913,nm1343326,nm0778479,nm1513459,nm2681961,nm0004098,nm0571983,nm1597578,nm0213789,nm0224683,nm2036776,nm0884037,nm0834419,nm0925870,nm0963061,nm2552851,nm0568114,nm0297489,nm0322900,nm0100841,nm0281224,nm3174789,nm15667719,nm0109586,nm0915727,nm1334802,nm0159012,nm0331135,nm0332752,nm0369858,nm0923396	nm0680460,nm0633202,nm0812026,nm0813960,nm0229890,nm0229908,nm1292167,nm1007597,nm0989215,nm0989216,nm0746169,nm0925335,nm0925388,nm2419908,nm1141830,nm2251709,nm0291507,nm2078312,nm1480454,nm1003809,nm0325029,nm0513851,nm0908607,nm1014203,nm1014177,nm0492953,nm1012482,nm1010971,nm0519133,nm0174585,nm0429390,nm2429218,nm2654235,nm1221904,nm0068550,nm1159577,nm0909529,nm3049540,nm0255819,nm0260547,nm0113780,nm0628248,nm0717622,nm0989904,nm1142664,nm0191612,nm1051829,nm2727176,nm4972117,nm0997483,nm1779986,nm0110828,nm1105215,nm3079954,nm0807006,nm2085815,nm0693044,nm0106187,nm0322325,nm0833510,nm0542021,nm3454108,nm0566699,nm2721275,nm4237316,nm0027442,nm1267575,nm1000132,nm1011786,nm0750422,nm0996693,nm1014193,nm1049086,nm0820121,nm1011976,nm0792404,nm0758444,nm1088908,nm0913330,nm3059609,nm0782462,nm0922948,nm0501148,nm2040174,nm0711626,nm0846520,nm0421246,nm2591020,nm0925872,nm1012917,nm9109568,nm0617002,nm0682274,nm3566933,nm2077775,nm0723559,nm1779949,nm0658855,nm0880986,nm1276101,nm1939057,nm1802728,nm1299367,nm0434560,nm0115032,nm1011004,nm0358462,nm2272293,nm0906799,nm0479525,nm0997301,nm3579833,nm0534951,nm2654307,nm0866801,nm2660138,nm1669530,nm0040612,nm0481805,nm1106086,nm0899533,nm0112601,nm2220634,nm1049067,nm2006443,nm0111576,nm0698989,nm0019706,nm0111577,nm0122417,nm0202681,nm0238898,nm0505615,nm0754581,nm0789737,nm0991335,nm0162914,nm1301702,nm3059996,nm0726721,nm1014206,nm2233247,nm0235902,nm10360337,nm1672253,nm1440687,nm1400899,nm5846217,nm0817957,nm2076865,nm9551033,nm3930118,nm0068589,nm0881501,nm0989955,nm0031021,nm0097597,nm0148223,nm0313072,nm0368575,nm0564474
tt0044270	nm0375306,nm0022750,nm1070249,nm0766129,nm0307368,nm0804973,nm2158693,nm0271013,nm0585858	nm0566588,nm0792369,nm0581286
tt0044294	nm2694775,nm0663763,nm0826873	nm0146896,nm13013279,nm0437189,nm0437200,nm0506215,nm13929499,nm0776456,nm0826873,nm0887875,nm6292207
