tconst	parentTconst	seasonNumber	episodeNumber
tt18746786	tt6992876		
tt15948476	tt15941280		
tt2377555	tt0424712		
tt23063374	tt13879990	1.0	556.0
tt8381476	tt7975240	2.0	5.0
tt3558198	tt0170511	1.0	1.0
tt1686985	tt1632707	1.0	2.0
tt32082742	tt9585268		
tt34702195	tt30224310	1.0	123.0
tt8826512	tt7958424		
tt6333300	tt6183736	1.0	7.0
tt8578988	tt0161203	1.0	93.0
tt2875418	tt2117468	1.0	152.0
tt28595801	tt28595443	1.0	62.0
tt10505842	tt10489984	1.0	370.0
tt3328942	tt1809909		
tt34352117	tt32620843	1.0	1.0
tt8838188	tt0209525	1.0	133.0
tt8265814	tt0324763	1.0	58.0
tt14785710	tt10999274	1.0	4.0
tt32280827	tt10074050	6.0	19.0
tt5347456	tt4067972	2.0	17.0
tt14189480	tt10948526		
tt19177484	tt9009116		
tt31529589	tt18217786	1.0	30.0
tt6716372	tt6667152	7.0	10.0
tt1805999	tt0262955	13.0	9.0
tt1376515	tt0121220	1.0	284.0
tt33004929	tt0271894	10.0	6.0
tt11163446	tt10334416	1.0	847.0
tt17347664	tt14589006		
tt14411894	tt7279130		
tt14225970	tt1139653		
tt10077718	tt7955338	1.0	309.0
tt27046989	tt14469742		
tt15938518	tt15900270		
tt35067861	tt20244430	2.0	6.0
tt16388282	tt12885410	1.0	232.0
tt11018122	tt1778172	9.0	1.0
tt28131531	tt5868898	1.0	18.0
tt15929990	tt15900270		
tt11569258	tt11564232	1.0	11.0
tt7158624	tt5508212	1.0	38.0
tt9171420	tt5236232	1.0	103.0
tt7951808	tt0222685	1.0	66.0
tt11051552	tt10612648	1.0	32.0
tt15093754	tt4287744	1.0	772.0
tt11342622	tt1932308	4.0	10.0
tt15145988	tt0051257	31.0	80.0
tt18213264	tt1333920	1.0	56.0
tt2889858	tt0185819	1.0	1125.0
tt0924027	tt0383783	1.0	2.0
tt1131062	tt0057735	1.0	4.0
tt8805176	tt0072561	3.0	16.0
tt22938234	tt9129440	1.0	11.0
tt10436900	tt7592742	2.0	3.0
tt12554062	tt0254031	5.0	152.0
tt5397074	tt5207256	1.0	55.0
tt24227644	tt12105896	1.0	883.0
tt1461831	tt0272697	2.0	4.0
tt18922238	tt1053637	1.0	1936.0
tt31548113	tt11101140		
tt1290737	tt1229769	1.0	106.0
tt10574210	tt9860690	1.0	4.0
tt27993832	tt0159881	39.0	193.0
tt5225438	tt0056758	1.0	13437.0
tt0873958	tt0420382		
tt0771634	tt0465774	1.0	3.0
tt1368070	tt2855296	1.0	6.0
tt2091570	tt2085231	1.0	3.0
tt11373446	tt11131862	1.0	7.0
tt0305862	tt0931229	1.0	4.0
tt7091674	tt0853076	1.0	832.0
tt0901878	tt0289801		
tt2090212	tt1216434	4.0	12.0
tt1932345	tt1839337	1.0	5.0
tt33683408	tt31080992	1.0	551.0
tt9228948	tt1021041	14.0	20.0
tt15317788	tt8943942	1.0	1002.0
tt17008032	tt11202076	1.0	427.0
tt1897106	tt1014785		
tt24176088	tt21652514	1.0	9.0
tt33482346	tt0073968	1.0	53.0
tt9609838	tt9609308	9.0	1.0
tt14159438	tt12618452	1.0	381.0
tt15667148	tt15665162	1.0	227.0
tt26658366	tt26658277	1.0	10.0
tt1105586	tt0207255	1.0	32.0
tt29345345	tt20752606	1.0	1.0
tt29033775	tt28699095		
tt10688374	tt0112113	1.0	115.0
tt9909782	tt0479336	8.0	97.0
tt2155797	tt0390700	12.0	6.0
tt16101712	tt9111220	4.0	7.0
tt32141806	tt28080429		
tt30428512	tt1025770		
tt11573626	tt1880454		
tt28080139	tt9307028	4.0	4.0
tt5660354	tt5636378	1.0	2.0
tt35121959	tt30868630	1.0	124.0
tt26691745	tt1151168		
tt1992694	tt0447759		
tt6046686	tt2150202	7.0	2.0
tt14808948	tt8961296	1.0	792.0
tt8901622	tt8261544	1.0	9.0
tt15865148	tt15845278		
tt1088963	tt0069658	1.0	7738.0
tt2247601	tt0302137		
tt11588126	tt11501436	1.0	1402.0
tt12904338	tt10189764	1.0	213.0
tt31227347	tt30923187	5.0	2.0
tt12540764	tt12030058	2.0	2.0
tt3226342	tt3029990	2.0	88.0
tt11185612	tt6546344	1.0	87.0
tt12746698	tt5659248	2.0	55.0
tt16373546	tt10578200	12.0	6.0
tt15849476	tt12644388		
tt12935190	tt12759180	1.0	5.0
tt29629388	tt5057752	9.0	180.0
tt32645673	tt29888290	1.0	324.0
tt9137200	tt0346382	1.0	346.0
tt1190239	tt0086689	9.0	19.0
tt7232308	tt1848153	1.0	73.0
tt26596728	tt6398126	1.0	130.0
tt8614244	tt6398232	1.0	8.0
tt23782092	tt12787732	1.0	20.0
tt33992959	tt33992073	1.0	16.0
tt27664673	tt11349960	1.0	942.0
tt7382024	tt5300132	1.0	214.0
tt3668294	tt2311336	1.0	133.0
