id,tconst,ordering,nconst,category,job,characters
0,tt0040053,1,nm0838047,self,,"[""Self - Host""]"
1,tt0040053,2,nm0838047,self,,"[""Self""]"
2,tt0040053,3,nm1923095,self,,"[""Themselves""]"
3,tt0040053,4,nm1923095,self,,"[""Orchestra""]"
4,tt0040053,5,nm0088643,self,,"[""Self - orchestra conductor""]"
5,tt0040053,6,nm0088643,self,,"[""Self""]"
6,tt0040053,7,nm0088643,self,,"[""Self - Orchestra Leader""]"
7,tt0040053,8,nm0915590,actor,,"[""Comedian""]"
8,tt0040053,9,nm0915590,actor,,"[""Self - Comedian""]"
9,tt0040053,10,nm0915590,actor,,"[""Self""]"
10,tt0040053,11,nm0795971,actor,,"[""Comedian""]"
11,tt0040053,12,nm0795971,actor,,"[""Self - Comedian""]"
12,tt0040053,13,nm0795971,actor,,"[""Self""]"
13,tt0040053,14,nm0666954,self,,"[""Self - Announcer""]"
14,tt0040053,15,nm0666954,self,,"[""Self - announcer""]"
15,tt0040053,16,nm1674763,self,,"[""Themselves""]"
16,tt0040053,17,nm1674763,self,,"[""Themselves - Dancers""]"
17,tt0040053,18,nm1674763,self,,"[""Themselves - dancers""]"
18,tt0040053,19,nm1919324,self,,"[""Self - Italian Mouse Puppet""]"
19,tt0040053,20,nm1919324,self,,"[""Self - Italian mouse puppet""]"
20,tt0040053,21,nm1919324,self,,"[""Self""]"
21,tt0040053,22,nm0676654,self,,"[""Self""]"
22,tt0040053,23,nm0676654,self,,"[""Self - Opera Soprano""]"
23,tt0040053,24,nm0676654,self,,"[""Self - Opera soprano""]"
24,tt0040053,25,nm0141659,self,,"[""Self - Comedian""]"
25,tt0040053,26,nm0141659,self,,"[""Self""]"
26,tt0040053,27,nm0141659,self,,"[""Self - Audience Bow""]"
27,tt0041023,1,nm0713270,self,,"[""Self - Host""]"
28,tt0041023,2,nm0713270,self,,"[""Barney Peters""]"
29,tt0041023,3,nm0713270,self,,"[""Brent""]"
30,tt0041023,4,nm0911314,actor,,"[""(segment \""Confession\"")""]"
31,tt0041023,5,nm0911314,actor,,"[""Critic""]"
32,tt0041023,6,nm0911314,actor,,"[""Dick""]"
33,tt0041023,7,nm0495270,actor,,
34,tt0041023,8,nm0339428,actor,,"[""Detective""]"
35,tt0041023,9,nm0339428,actor,,"[""Doc Halliday""]"
36,tt0041023,10,nm0339428,actor,,"[""Jerome McVey""]"
37,tt0041023,11,nm0761576,actor,,"[""Andy McMasters""]"
38,tt0041023,12,nm0761576,actor,,"[""Bruce""]"
39,tt0041023,13,nm0761576,actor,,"[""Police Sergeant""]"
40,tt0041023,14,nm0321930,actor,,"[""Secretary of War""]"
41,tt0041023,15,nm0584119,actress,,"[""Amanda""]"
42,tt0041023,16,nm0584119,actress,,"[""Marian Tannen""]"
43,tt0041023,17,nm0584119,actress,,"[""Mme. Duval""]"
44,tt0041023,18,nm0397739,actor,,"[""(segment 'The Imp in the Bottle')""]"
45,tt0041023,19,nm0397739,actor,,"[""Radio Announcer""]"
46,tt0041023,20,nm0908647,actor,,"[""Bumble Cobb""]"
47,tt0041023,21,nm0908647,actor,,"[""Burton""]"
48,tt0041023,22,nm0908647,actor,,"[""Chuck""]"
49,tt0041023,23,nm0269514,actor,,"[""Jed""]"
50,tt0041039,1,nm0939931,actress,,"[""Mama""]"
51,tt0041039,2,nm0939931,actress,,"[""Mama Hansen""]"
52,tt0041039,3,nm0939931,actress,,"[""Marta 'Mama' Hansen""]"
53,tt0041039,4,nm0481997,actor,,"[""Papa""]"
54,tt0041039,5,nm0481997,actor,,"[""Papa Hansen""]"
55,tt0041039,6,nm0481997,actor,,"[""Lars 'Papa' Hansen""]"
56,tt0041039,7,nm0887694,actor,,"[""Nels Hansen""]"
57,tt0041039,8,nm0887694,actor,,"[""Nels""]"
58,tt0041039,9,nm0723539,actress,,"[""Katrin""]"
59,tt0041039,10,nm0723539,actress,,"[""Katrin Hansen""]"
60,tt0041039,11,nm3524963,actress,,"[""Miss Jessie""]"
61,tt0041039,12,nm0737063,actress,,"[""Edna""]"
62,tt0041039,13,nm3528164,actress,,"[""Lucille""]"
63,tt0041039,14,nm0604999,actress,,"[""Dagmar""]"
64,tt0041039,15,nm0604999,actress,,"[""Dagmar Hansen""]"
65,tt0041039,16,nm0786836,actor,,"[""Dr. Prager""]"
66,tt0041039,17,nm0309622,actress,,"[""Aunt Jenny""]"
67,tt0042092,1,nm0001458,actress,,"[""Effie Perrine""]"
68,tt0042092,2,nm0574293,actor,,"[""Charlie Wild""]"
69,tt0042092,3,nm0641870,actor,,"[""Charlie Wild""]"
70,tt0042092,4,nm0079688,actress,,"[""Amanda""]"
71,tt0042092,5,nm0079688,actress,,"[""Freda Stoellen""]"
72,tt0042092,6,nm0303601,actress,,"[""Lisa""]"
73,tt0042092,7,nm0065579,self,,"[""Self - Announcer""]"
74,tt0042092,8,nm0874143,actor,,"[""Terrance""]"
75,tt0042092,9,nm0874143,actor,,"[""Thomas Tillinghast""]"
76,tt0042092,10,nm1519696,actor,,"[""Capt. O'Connell""]"
77,tt0042092,11,nm0923332,actor,,"[""Bell Boy""]"
78,tt0042092,12,nm0008044,actor,,
79,tt0042160,1,nm0176235,self,,"[""Self - Host""]"
80,tt0042160,2,nm2206957,self,,"[""Themselves - Singers""]"
81,tt0042160,3,nm0214295,self,,"[""Self""]"
82,tt0042160,4,nm0072081,self,,"[""Self""]"
83,tt0042160,5,nm0072081,self,,"[""Self - Guest""]"
84,tt0042160,6,nm0167041,self,,"[""Self""]"
85,tt0042160,7,nm0167041,self,,"[""Self - Guest""]"
86,tt0042160,8,nm1868402,self,,"[""Themselves""]"
87,tt0042160,9,nm2271628,self,,"[""Themselves""]"
88,tt0042160,10,nm2271628,self,,"[""Themselves - Vocal Group""]"
89,tt0042160,11,nm0668879,self,,"[""Self""]"
90,tt0042160,12,nm0108116,self,,"[""Self""]"
91,tt0042160,13,nm3526319,self,,"[""Self - Guest""]"
