tconst	ordering	nconst	category	job	characters
tt0040053	1	nm0838047	self		"[""Self - Host""]"
tt0040053	2	nm0838047	self		"[""Self""]"
tt0040053	3	nm1923095	self		"[""Themselves""]"
tt0040053	4	nm1923095	self		"[""Orchestra""]"
tt0040053	5	nm0088643	self		"[""Self - orchestra conductor""]"
tt0040053	6	nm0088643	self		"[""Self""]"
tt0040053	7	nm0088643	self		"[""Self - Orchestra Leader""]"
tt0040053	8	nm0915590	actor		"[""Comedian""]"
tt0040053	9	nm0915590	actor		"[""Self - Comedian""]"
tt0040053	10	nm0915590	actor		"[""Self""]"
tt0040053	11	nm0795971	actor		"[""Comedian""]"
tt0040053	12	nm0795971	actor		"[""Self - Comedian""]"
tt0040053	13	nm0795971	actor		"[""Self""]"
tt0040053	14	nm0666954	self		"[""Self - Announcer""]"
tt0040053	15	nm0666954	self		"[""Self - announcer""]"
tt0040053	16	nm1674763	self		"[""Themselves""]"
tt0040053	17	nm1674763	self		"[""Themselves - Dancers""]"
tt0040053	18	nm1674763	self		"[""Themselves - dancers""]"
tt0040053	19	nm1919324	self		"[""Self - Italian Mouse Puppet""]"
tt0040053	20	nm1919324	self		"[""Self - Italian mouse puppet""]"
tt0040053	21	nm1919324	self		"[""Self""]"
tt0040053	22	nm0676654	self		"[""Self""]"
tt0040053	23	nm0676654	self		"[""Self - Opera Soprano""]"
tt0040053	24	nm0676654	self		"[""Self - Opera soprano""]"
tt0040053	25	nm0141659	self		"[""Self - Comedian""]"
tt0040053	26	nm0141659	self		"[""Self""]"
tt0040053	27	nm0141659	self		"[""Self - Audience Bow""]"
tt0041023	1	nm0713270	self		"[""Self - Host""]"
tt0041023	2	nm0713270	self		"[""Barney Peters""]"
tt0041023	3	nm0713270	self		"[""Brent""]"
tt0041023	4	nm0911314	actor		"[""(segment \""Confession\"")""]"
tt0041023	5	nm0911314	actor		"[""Critic""]"
tt0041023	6	nm0911314	actor		"[""Dick""]"
tt0041023	7	nm0495270	actor		
tt0041023	8	nm0339428	actor		"[""Detective""]"
tt0041023	9	nm0339428	actor		"[""Doc Halliday""]"
tt0041023	10	nm0339428	actor		"[""Jerome McVey""]"
tt0041023	11	nm0761576	actor		"[""Andy McMasters""]"
tt0041023	12	nm0761576	actor		"[""Bruce""]"
tt0041023	13	nm0761576	actor		"[""Police Sergeant""]"
tt0041023	14	nm0321930	actor		"[""Secretary of War""]"
tt0041023	15	nm0584119	actress		"[""Amanda""]"
tt0041023	16	nm0584119	actress		"[""Marian Tannen""]"
tt0041023	17	nm0584119	actress		"[""Mme. Duval""]"
tt0041023	18	nm0397739	actor		"[""(segment 'The Imp in the Bottle')""]"
tt0041023	19	nm0397739	actor		"[""Radio Announcer""]"
tt0041023	20	nm0908647	actor		"[""Bumble Cobb""]"
tt0041023	21	nm0908647	actor		"[""Burton""]"
tt0041023	22	nm0908647	actor		"[""Chuck""]"
tt0041023	23	nm0269514	actor		"[""Jed""]"
tt0041039	1	nm0939931	actress		"[""Mama""]"
tt0041039	2	nm0939931	actress		"[""Mama Hansen""]"
tt0041039	3	nm0939931	actress		"[""Marta 'Mama' Hansen""]"
tt0041039	4	nm0481997	actor		"[""Papa""]"
tt0041039	5	nm0481997	actor		"[""Papa Hansen""]"
tt0041039	6	nm0481997	actor		"[""Lars 'Papa' Hansen""]"
tt0041039	7	nm0887694	actor		"[""Nels Hansen""]"
tt0041039	8	nm0887694	actor		"[""Nels""]"
tt0041039	9	nm0723539	actress		"[""Katrin""]"
tt0041039	10	nm0723539	actress		"[""Katrin Hansen""]"
tt0041039	11	nm3524963	actress		"[""Miss Jessie""]"
tt0041039	12	nm0737063	actress		"[""Edna""]"
tt0041039	13	nm3528164	actress		"[""Lucille""]"
tt0041039	14	nm0604999	actress		"[""Dagmar""]"
tt0041039	15	nm0604999	actress		"[""Dagmar Hansen""]"
tt0041039	16	nm0786836	actor		"[""Dr. Prager""]"
tt0041039	17	nm0309622	actress		"[""Aunt Jenny""]"
tt0042092	1	nm0001458	actress		"[""Effie Perrine""]"
tt0042092	2	nm0574293	actor		"[""Charlie Wild""]"
tt0042092	3	nm0641870	actor		"[""Charlie Wild""]"
tt0042092	4	nm0079688	actress		"[""Amanda""]"
tt0042092	5	nm0079688	actress		"[""Freda Stoellen""]"
tt0042092	6	nm0303601	actress		"[""Lisa""]"
tt0042092	7	nm0065579	self		"[""Self - Announcer""]"
tt0042092	8	nm0874143	actor		"[""Terrance""]"
tt0042092	9	nm0874143	actor		"[""Thomas Tillinghast""]"
tt0042092	10	nm1519696	actor		"[""Capt. O'Connell""]"
tt0042092	11	nm0923332	actor		"[""Bell Boy""]"
tt0042092	12	nm0008044	actor		
tt0042160	1	nm0176235	self		"[""Self - Host""]"
tt0042160	2	nm2206957	self		"[""Themselves - Singers""]"
tt0042160	3	nm0214295	self		"[""Self""]"
tt0042160	4	nm0072081	self		"[""Self""]"
tt0042160	5	nm0072081	self		"[""Self - Guest""]"
tt0042160	6	nm0167041	self		"[""Self""]"
tt0042160	7	nm0167041	self		"[""Self - Guest""]"
tt0042160	8	nm1868402	self		"[""Themselves""]"
tt0042160	9	nm2271628	self		"[""Themselves""]"
tt0042160	10	nm2271628	self		"[""Themselves - Vocal Group""]"
tt0042160	11	nm0668879	self		"[""Self""]"
tt0042160	12	nm0108116	self		"[""Self""]"
tt0042160	13	nm3526319	self		"[""Self - Guest""]"
tt0043214	1	nm0676333	actress		"[""Vanessa Sterling""]"
tt0043214	2	nm0866913	actor		"[""Bruce Sterling""]"
tt0043214	3	nm0565556	actress		"[""Vanessa Dale""]"
tt0043214	4	nm0564313	actress		"[""Meg Harper""]"
tt0043214	5	nm0564313	actress		"[""Meg Dale""]"
tt0043214	6	nm0731313	self		"[""Self - Announcer""]"
tt0043214	7	nm0731313	self		"[""Announcer""]"
tt0043214	8	nm0731313	self		"[""Radio announcer""]"
tt0043214	9	nm0663168	actor		"[""Beanie Harper""]"
tt0043214	10	nm0821800	actor		"[""Henry Carlson""]"
tt0043214	11	nm0294051	actor		"[""Matt Slocum""]"
tt0043214	12	nm0741455	actress		"[""Sarah Dale""]"
tt0043214	13	nm0662955	actress		"[""Ellie Crown""]"
tt0043228	1	nm0000051	self		"[""Self - Host""]"
tt0043228	2	nm0000051	self		"[""Captain Vialez""]"
tt0043228	3	nm0002050	self		"[""Self - Host""]"
tt0043228	4	nm0002050	self		"[""Housewife""]"
tt0043228	5	nm0002050	self		"[""Prologue""]"
