tconst	averageRating	numVotes
tt0040053	7.9	1614
tt0041023	7.4	103
tt0041039	8.1	198
tt0042092	8.5	19
tt0043214	7.4	127
tt0043228	7.4	354
tt0044265	6.5	1951
tt0044270	7.9	577
tt0044294	6.8	15
tt0044298	4.6	2550
tt0045395	6.7	453
tt0045410	7.1	1340
tt0045414	7.2	63
tt0046583	6.9	38
tt0046592	7.9	279
tt0046641	5.2	282
tt0046652	7.9	233
tt0046659	6.8	79
tt0046667	7.6	12
tt0047714	6.8	206
tt0047718	8.0	1637
tt0047752	7.7	501
tt0047776	6.3	29
tt0048845	6.2	2361
tt0049993	7.5	414
tt0050022	7.0	1631
tt0050051	8.3	12580
tt0050063	7.4	481
tt0051247	7.7	1728
tt0051257	6.5	649
tt0051267	7.4	2007
tt0051272	6.8	24
tt0051276	6.9	152
tt0051297	8.2	1500
tt0052473	7.9	250
tt0052492	7.3	138
tt0052507	7.8	4827
tt0053494	5.6	6278
tt0053497	7.6	68
tt0053525	7.1	4759
tt0053543	8.0	54
tt0054512	8.1	27
tt0054560	7.4	529
tt0055671	7.2	110
tt0055673	7.2	759
tt0055682	8.5	102
tt0055691	6.6	624
tt0055708	8.5	4399
tt0056748	7.8	224
tt0056752	7.0	261
tt0056757	8.1	4934
tt0056758	6.6	5848
tt0056777	8.2	9702
tt0057731	7.0	1201
tt0057735	8.5	21
tt0057741	4.4	430
tt0057751	7.4	17652
tt0057797	6.9	14
tt0058796	5.3	7706
tt0058815	7.4	18143
tt0058827	6.8	9
tt0059975	6.9	193
tt0059978	8.1	5665
tt0061268	7.1	229
tt0061277	7.4	4540
tt0062562	7.4	51
tt0062588	8.7	9921
tt0063879	7.3	46
tt0063908	7.0	1891
tt0063948	7.7	1297
tt0065272	6.8	3417
tt0065288	7.5	52
tt0065314	8.3	10644
tt0065316	6.1	43
tt0065335	6.3	431
tt0066630	7.1	680
tt0066633	6.9	1097
tt0068069	4.9	3711
tt0068103	7.3	4932
tt0068114	7.1	153
tt0068120	7.5	4435
tt0068128	7.9	11334
tt0069557	6.9	3321
tt0069576	8.1	5524
tt0069602	7.1	3858
tt0069608	8.3	2610
tt0069629	6.9	291
tt0069658	5.3	7053
tt0071574	9.3	26
tt0072506	4.5	2136
tt0072518	7.4	421
tt0072559	7.2	594
tt0072561	7.8	35
tt0072562	8.0	55059
tt0072584	6.7	3822
tt0072587	6.1	58
tt0073968	7.3	28
tt0074077	5.8	130
tt0075281	6.8	549
tt0075512	7.1	1742
tt0077000	7.1	17293
tt0077058	8.1	1157
tt0077064	8.1	2366
tt0077082	6.9	230
tt0077083	7.5	272
tt0078673	7.5	2351
tt0081935	6.0	364
tt0081945	7.3	265
tt0082201	7.0	164
tt0083392	6.6	1013
tt0083441	7.5	5117
tt0083452	8.9	946
tt0083504	6.0	323
tt0084967	7.5	43390
tt0084987	6.7	4346
tt0085049	6.9	413
tt0085796	8.8	7
tt0086689	6.8	729
tt0086729	5.7	404
tt0086793	5.7	2958
tt0086810	5.8	115
tt0086818	7.4	1634
tt0088512	4.8	9593
tt0088550	5.5	1286
tt0088554	4.7	811
tt0088580	5.6	6613
tt0088608	7.9	865
tt0088625	6.2	135
tt0090440	6.2	393
tt0090444	6.6	3608
tt0090493	5.0	5537
tt0092323	7.3	965
tt0092325	3.5	8528
tt0092350	8.3	35
tt0092379	8.2	15067
tt0092381	6.4	3386
tt0092389	4.1	133
tt0092490	7.2	34
tt0094423	8.2	52
tt0094481	5.1	6660
tt0094514	6.9	11057
tt0094531	6.7	6266
tt0096537	6.5	1037
tt0096555	6.1	3839
tt0096592	7.2	174
