id,authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
0,Y,C_ID_0b29271114,158,N,1,B,307,M_ID_c8911208f2,2,-0.71685477,422811,1.0,15,19
1,Y,C_ID_0b29271114,158,N,1,B,178,M_ID_73afa8ebbe,2,-0.68755307,422672,1.0,15,29
2,Y,C_ID_0b29271114,158,N,1,B,195,,1,-0.68680175,422099,1.0,15,34
3,Y,C_ID_0b29271114,158,N,1,B,818,M_ID_ed8fbb44a9,2,-0.68394671,422626,1.0,15,12
4,Y,C_ID_0b29271114,158,N,1,B,367,M_ID_e68fb6acf1,2,-0.6756671,422272,1.0,15,16
5,Y,C_ID_0b29271114,158,N,1,B,705,M_ID_c1a7024db1,2,-0.72313585,422649,1.0,15,33
6,Y,C_ID_0b29271114,158,N,1,B,557,M_ID_036120da01,2,-0.66426198,422814,1.0,15,29
7,Y,C_ID_0b29271114,158,N,1,B,307,M_ID_154bebfb5d,2,-0.71685477,422242,1.0,15,19
8,Y,C_ID_0b29271114,158,N,1,B,278,M_ID_af4f7dc485,1,-0.67478054,422078,1.0,15,37
9,Y,C_ID_06ba2a355d,160,N,1,B,630,M_ID_ccdd28a7c2,1,-0.72136273,422794,5.0,21,36
10,Y,C_ID_06ba2a355d,-1,Y,5,C,884,M_ID_aee27a6860,2,-0.49458261,423352,,-1,27
11,Y,C_ID_06ba2a355d,-1,Y,5,C,884,M_ID_9dbbaabb0a,2,-0.41784221,423623,,-1,27
12,Y,C_ID_06ba2a355d,-1,Y,1,B,574,M_ID_6f274b9340,2,-0.74089719,423595,,-1,22
13,Y,C_ID_06ba2a355d,69,N,1,B,705,M_ID_b5b80addf5,1,-0.72109225,422803,1.0,9,33
14,Y,C_ID_06ba2a355d,69,N,1,B,544,M_ID_7306a369ea,1,-0.6748707,422802,1.0,9,29
15,Y,C_ID_06ba2a355d,160,N,1,B,278,M_ID_9ab624d9fb,1,-0.70408224,422704,5.0,21,37
16,Y,C_ID_06ba2a355d,-1,Y,5,C,705,M_ID_b7777dd235,2,-0.37261241,423523,,-1,33
17,Y,C_ID_146883e18b,179,N,0,A,80,M_ID_5b531bf495,2,-0.66967152,423331,,-1,37
18,Y,C_ID_146883e18b,291,N,0,A,879,M_ID_9139332ccc,2,-0.71159549,423320,1.0,9,29
19,Y,C_ID_146883e18b,180,N,0,A,178,M_ID_d5d72b3710,1,-0.69882296,422441,2.0,24,29
20,Y,C_ID_146883e18b,179,N,0,A,307,M_ID_deda72e915,2,-0.72436803,423283,,-1,19
21,Y,C_ID_ca35b43792,25,N,0,A,278,M_ID_b61b30a76f,1,-0.54385454,422365,3.0,7,37
22,Y,C_ID_ca35b43792,38,N,0,A,690,M_ID_3d97618b97,1,-0.177403,422390,3.0,7,1
23,Y,C_ID_ca35b43792,38,N,0,A,307,M_ID_a9390066b1,1,-0.43135105,422478,3.0,7,19
24,Y,C_ID_ca35b43792,38,N,0,A,111,M_ID_8ab46cf9a0,1,-0.647267,422682,3.0,7,36
25,Y,C_ID_ca35b43792,38,N,0,A,560,M_ID_1c99a42cd6,1,-0.70363144,422337,3.0,7,34
26,Y,C_ID_ca35b43792,38,N,0,A,307,M_ID_ca2784d676,1,-0.60863383,422697,3.0,7,19
27,Y,C_ID_ca35b43792,38,N,0,A,705,M_ID_3bbdd5711c,1,-0.66633564,422323,3.0,7,33
28,Y,C_ID_ca35b43792,30,N,0,A,307,M_ID_ab4c4ea799,2,-0.4328537,423300,3.0,17,19
29,Y,C_ID_ca35b43792,251,N,0,A,278,M_ID_da3f9f1ae7,1,-0.63796558,422198,3.0,8,37
30,Y,C_ID_ca35b43792,30,N,0,A,637,M_ID_bf2310304c,2,-0.48770047,423576,3.0,17,37
31,Y,C_ID_ca35b43792,25,N,0,A,506,M_ID_aeb93d88f6,1,-0.10136885,422366,3.0,7,30
32,Y,C_ID_ca35b43792,38,N,0,A,278,M_ID_353a384203,1,-0.63550124,422275,3.0,7,37
33,Y,C_ID_ca35b43792,30,N,0,A,560,M_ID_24f21c25d2,2,-0.72444316,423640,3.0,17,34
34,Y,C_ID_ca35b43792,30,N,0,A,690,M_ID_57d571d42f,2,-0.58588369,423645,3.0,17,1
35,Y,C_ID_ca35b43792,38,N,0,A,9,M_ID_f653cb0d28,1,-0.73563791,422682,3.0,7,21
36,Y,C_ID_ca35b43792,331,N,0,A,278,M_ID_8d0ff6cba7,1,-0.6266957,422653,1.0,9,37
37,Y,C_ID_ca35b43792,251,N,0,A,278,M_ID_7f67be26fa,1,-0.65817624,422207,3.0,8,37
38,Y,C_ID_ca35b43792,38,N,0,A,683,M_ID_f69710b7dd,1,-0.72887598,422694,3.0,7,34
39,Y,C_ID_ca35b43792,38,N,0,A,454,M_ID_4982c30e0b,1,-0.73488659,422323,3.0,7,39
40,Y,C_ID_ca35b43792,30,N,0,A,506,M_ID_117fe44d6f,2,-0.71099443,423642,3.0,17,30
41,Y,C_ID_ca35b43792,30,N,0,A,560,M_ID_d629794a20,2,-0.73037863,423008,3.0,17,34
42,Y,C_ID_ca35b43792,251,N,0,A,474,M_ID_56204e4f99,1,-0.51700216,422216,3.0,8,23
43,Y,C_ID_ca35b43792,38,N,0,A,278,M_ID_f7a9be4636,1,-0.48905285,422269,3.0,7,37
44,Y,C_ID_ca35b43792,30,N,0,A,307,M_ID_781a4c692a,2,-0.29611244,423570,3.0,17,19
45,Y,C_ID_ca35b43792,69,N,0,A,561,M_ID_50f575c681,1,-0.70483356,422464,1.0,9,7
46,Y,C_ID_ca35b43792,38,N,0,A,605,M_ID_354a9328a5,1,-0.52151012,422455,3.0,7,2
47,Y,C_ID_ca35b43792,38,N,0,A,278,M_ID_f0caca218a,1,-0.66307489,422679,3.0,7,37
48,Y,C_ID_ca35b43792,25,N,0,A,454,M_ID_090e1af690,1,-0.73488659,422365,3.0,7,39
49,Y,C_ID_ca35b43792,38,N,0,A,278,M_ID_677894f2be,1,-0.66624548,422461,3.0,7,37
50,Y,C_ID_ca35b43792,38,N,0,A,560,M_ID_454fff6176,1,-0.73488659,422654,3.0,7,34
51,Y,C_ID_ca35b43792,38,N,0,A,528,M_ID_7dc67360c4,1,-0.67928849,422273,3.0,7,25
52,Y,C_ID_ca35b43792,30,N,0,A,454,M_ID_6e4e6bbc25,2,-0.74089719,423646,3.0,17,39
53,Y,C_ID_ca35b43792,331,N,0,A,369,M_ID_8e25ff6baf,1,-0.38035107,422654,1.0,9,27
54,Y,C_ID_ca35b43792,38,N,0,A,818,M_ID_04c5f69ebe,1,-0.53728796,422695,3.0,7,12
55,Y,C_ID_e59afb1603,69,N,-1,,309,M_ID_94c8e55457,1,-0.59393791,421570,1.0,9,21
56,Y,C_ID_e59afb1603,83,N,1,B,80,M_ID_8a43d98186,1,-0.72436803,421550,1.0,9,37
57,Y,C_ID_e59afb1603,83,N,1,B,108,M_ID_63964396a7,1,-0.69967947,422100,1.0,9,34
58,Y,C_ID_e59afb1603,83,N,1,B,692,M_ID_da03660ced,2,-0.67928849,422246,1.0,9,21
59,Y,C_ID_e59afb1603,69,N,1,B,80,M_ID_c03b62d83d,2,-0.65674872,422341,1.0,9,37
60,Y,C_ID_e59afb1603,-1,Y,1,B,385,M_ID_91d072ee49,1,-0.68824429,421646,,-1,17
61,Y,C_ID_e59afb1603,139,N,1,B,367,M_ID_6536ad94c0,2,-0.70683209,422292,1.0,9,16
62,Y,C_ID_e59afb1603,212,N,1,B,80,M_ID_a7b65e900a,1,-0.64202274,421695,4.0,4,37
63,Y,C_ID_3d943095d2,57,N,1,B,560,M_ID_bf34e8b5ad,1,-0.6601898,422347,5.0,5,34
64,Y,C_ID_3d943095d2,12,N,1,B,278,M_ID_314eccfdd3,1,-0.59626701,422579,5.0,5,37
65,Y,C_ID_3d943095d2,57,N,1,B,367,M_ID_002fbf1c79,1,-0.67432974,422914,5.0,5,16
66,Y,C_ID_3d943095d2,12,N,1,B,367,M_ID_fd2dd03f97,2,-0.61650773,423084,5.0,5,16
67,Y,C_ID_3d943095d2,269,N,1,B,367,M_ID_95cbee11de,2,-0.65326257,423595,5.0,5,16
68,Y,C_ID_3d943095d2,12,N,1,B,705,M_ID_cbe6d2e1f0,1,-0.65765032,422392,5.0,5,33
69,Y,C_ID_3d943095d2,12,N,2,C,607,M_ID_2650c8d3ae,1,-0.50663387,422752,5.0,5,29
70,Y,C_ID_3d943095d2,12,N,3,C,650,M_ID_14cd97ba1a,1,-0.50663387,422319,5.0,5,29
71,Y,C_ID_3d943095d2,12,N,1,B,195,M_ID_4c9504f5b0,2,-0.70408224,423517,5.0,5,34
72,Y,C_ID_3d943095d2,158,N,1,B,80,M_ID_1ac6bbc867,1,-0.70095672,422485,1.0,15,37
73,Y,C_ID_3d943095d2,69,N,1,B,829,M_ID_beda53f459,1,-0.60355487,422492,1.0,9,1
74,Y,C_ID_3d943095d2,12,N,1,B,309,M_ID_4441bbe8fc,1,-0.69341341,422247,5.0,5,21
75,Y,C_ID_3d943095d2,12,N,-1,,884,M_ID_b9c0fba354,1,-0.47646064,422245,5.0,5,27
76,Y,C_ID_3d943095d2,12,N,1,B,307,M_ID_dd069c3604,1,-0.70182826,422320,5.0,5,19
77,Y,C_ID_3d943095d2,12,N,1,B,278,M_ID_f69591f7c1,1,-0.63127879,422722,5.0,5,37
78,Y,C_ID_3d943095d2,12,N,3,C,607,M_ID_c2570967ca,2,-0.20601348,423421,5.0,5,29
79,Y,C_ID_3d943095d2,12,N,-1,,529,M_ID_692101813b,1,-0.42535547,422794,5.0,5,20
80,Y,C_ID_3d943095d2,12,N,1,B,19,M_ID_217a11d7ca,1,-0.71084417,422464,5.0,5,36
81,Y,C_ID_3d943095d2,12,N,1,B,108,M_ID_7ad7a026e1,2,-0.68432237,423638,5.0,5,34
82,Y,C_ID_3d943095d2,12,N,-1,,531,M_ID_60a7d38559,1,-0.51715243,422555,5.0,5,27
83,Y,C_ID_3d943095d2,12,N,1,B,360,M_ID_c76a2f857b,1,-0.68424724,422458,5.0,5,34
84,Y,C_ID_489af1caba,212,N,0,A,278,M_ID_ca2137683c,1,-0.64146676,422841,4.0,4,37
85,Y,C_ID_489af1caba,107,N,0,A,307,M_ID_e54e6b6d30,1,-0.59664268,422845,4.0,4,19
86,Y,C_ID_0fc64c3c81,312,N,0,A,884,M_ID_eee7261611,1,-0.71272248,422657,1.0,16,27
87,Y,C_ID_0fc64c3c81,312,N,0,A,130,M_ID_2cda78c73f,1,-0.72436803,422678,1.0,16,41
88,Y,C_ID_0fc64c3c81,69,N,0,A,302,M_ID_725a60d404,1,-0.59664268,422556,1.0,9,22
89,Y,C_ID_8051b86456,69,N,1,B,544,M_ID_e1220dfe76,2,-0.73188128,423223,1.0,9,29
90,Y,C_ID_8051b86456,69,N,1,B,683,M_ID_e4bca42d5e,2,-0.73939454,423191,1.0,9,34
91,Y,C_ID_8051b86456,69,N,1,B,531,M_ID_4dc0af40bf,1,-0.63000153,422242,1.0,9,27
92,Y,C_ID_8051b86456,69,N,1,B,367,M_ID_2a58616f9e,1,-0.62202246,422891,1.0,9,16
93,Y,C_ID_8051b86456,69,N,1,B,884,M_ID_be022aff60,1,-0.59673284,422605,1.0,9,27
94,Y,C_ID_8051b86456,69,N,1,B,307,M_ID_ee392c6aef,1,-0.70182826,422217,1.0,9,19
95,Y,C_ID_8051b86456,69,N,1,B,367,M_ID_9a26884097,2,-0.72602094,423355,1.0,9,16
96,Y,C_ID_8051b86456,69,N,1,B,560,M_ID_0b57129617,2,-0.40299602,423042,1.0,9,34
97,Y,C_ID_8051b86456,69,N,1,B,454,M_ID_8e24779ad0,1,-0.71384947,422374,1.0,9,39
98,Y,C_ID_8051b86456,69,N,1,B,605,M_ID_8e41d91471,2,-0.58161617,423560,1.0,9,2
99,Y,C_ID_8051b86456,69,N,1,B,195,M_ID_27ef0c464c,1,-0.69407458,422373,1.0,9,34
100,Y,C_ID_8051b86456,69,N,1,B,130,M_ID_c355870ab2,1,-0.68680175,422657,1.0,9,41
101,Y,C_ID_8051b86456,69,N,1,B,307,M_ID_4744b236eb,1,-0.67177524,422285,1.0,9,19
102,Y,C_ID_8051b86456,69,N,1,B,367,M_ID_f182b6c33f,2,-0.63954337,423255,1.0,9,16
103,Y,C_ID_32159fbb84,79,N,1,B,307,M_ID_15eef347a4,1,-0.50481566,422532,1.0,12,19
104,Y,C_ID_32159fbb84,218,N,1,B,843,M_ID_1a300c5f2f,1,-0.58161617,422680,1.0,12,29
105,Y,C_ID_32159fbb84,69,N,1,B,437,M_ID_eced0f8a81,1,0.03447082,422678,1.0,9,15
106,Y,C_ID_32159fbb84,34,N,1,B,412,M_ID_1c4be7bf03,1,-0.44637756,422678,1.0,12,18
107,Y,C_ID_32159fbb84,34,N,1,B,278,M_ID_a9edbc62d4,2,-0.70934152,423059,1.0,12,37
108,Y,C_ID_32159fbb84,79,N,1,B,369,M_ID_7249a58e7d,1,-0.67327789,422796,1.0,12,27
109,Y,C_ID_32159fbb84,79,N,1,B,367,M_ID_a48e67eb01,1,-0.63571161,422534,1.0,12,16
110,Y,C_ID_32159fbb84,34,N,1,B,411,M_ID_df067f004c,2,0.12462989,423059,1.0,12,21
111,Y,C_ID_32159fbb84,34,N,1,B,795,M_ID_a34fe27ee4,1,-0.2030232,422674,1.0,12,29
112,Y,C_ID_32159fbb84,79,N,1,B,307,M_ID_c2d0693706,1,-0.59661262,422795,1.0,12,19
113,Y,C_ID_aa9cdb0688,85,N,0,A,80,M_ID_101b170378,2,-0.70483356,421000,3.0,8,37
114,Y,C_ID_aa9cdb0688,331,N,0,A,80,M_ID_ee75252e6a,2,-0.68511878,421214,1.0,16,37
115,Y,C_ID_aa9cdb0688,331,N,0,A,307,M_ID_0cfe59c5d1,2,-0.56347917,420923,1.0,16,19
116,Y,C_ID_aa9cdb0688,308,N,0,A,278,M_ID_e345c0012c,2,-0.66281944,420926,1.0,16,37
117,Y,C_ID_aa9cdb0688,13,N,0,A,80,M_ID_00ad121a1e,2,-0.6045917,421286,1.0,9,37
118,Y,C_ID_aa9cdb0688,69,N,0,A,606,M_ID_cd2c0b07e9,2,-0.67928849,421335,1.0,9,17
119,Y,C_ID_aa9cdb0688,330,N,0,A,307,M_ID_422205cc9f,2,-0.54398978,420974,3.0,17,19
120,Y,C_ID_aa9cdb0688,20,N,0,A,705,M_ID_ec3a1e762b,2,-0.70300033,421187,3.0,19,33
121,Y,C_ID_aa9cdb0688,331,N,0,A,307,M_ID_377a68694b,2,-0.56649949,421218,1.0,16,19
122,Y,C_ID_aa9cdb0688,69,N,0,A,367,M_ID_8938544da3,1,-0.71565265,420621,1.0,9,16
123,Y,C_ID_aa9cdb0688,331,N,0,A,683,M_ID_15bf86f65d,2,-0.66831914,421210,1.0,16,34
124,Y,C_ID_aa9cdb0688,331,N,0,A,705,M_ID_731148cb68,2,-0.72217416,421281,1.0,16,33
125,Y,C_ID_aa9cdb0688,85,N,0,A,307,M_ID_87e445c060,2,-0.51187812,421115,3.0,8,19
126,Y,C_ID_aa9cdb0688,20,N,0,A,307,M_ID_2411cb4a5c,2,-0.60716124,420969,3.0,19,19
127,Y,C_ID_aa9cdb0688,331,N,0,A,80,M_ID_b47ee75a4e,2,-0.57788959,421218,1.0,16,37
128,Y,C_ID_aa9cdb0688,331,N,0,A,307,M_ID_6e6ba1b795,2,-0.59740903,421210,1.0,16,19
129,Y,C_ID_aa9cdb0688,308,N,0,A,307,M_ID_0fe2d85681,2,-0.66629056,420924,1.0,16,19
130,Y,C_ID_aa9cdb0688,331,N,0,A,437,M_ID_126c67eae4,2,-0.66941607,421243,1.0,16,15
131,Y,C_ID_aa9cdb0688,338,N,0,A,278,M_ID_44748b661b,2,-0.59668776,420971,3.0,19,37
132,Y,C_ID_aa9cdb0688,85,N,0,A,68,M_ID_c80deeb4d9,2,-0.64923547,420998,3.0,8,27
133,Y,C_ID_aa9cdb0688,69,N,0,A,387,M_ID_d40fc89fc1,2,-0.64172221,421333,1.0,9,36
134,Y,C_ID_aa9cdb0688,68,N,0,A,307,M_ID_ea0ae82e39,2,-0.55900127,420917,1.0,16,19
135,Y,C_ID_aa9cdb0688,20,N,0,A,683,M_ID_cb76192385,2,-0.67267683,421142,3.0,19,34
136,Y,C_ID_aa9cdb0688,85,N,0,A,80,M_ID_8e54a6f534,2,-0.72587068,421027,3.0,8,37
137,Y,C_ID_aa9cdb0688,85,N,0,A,437,M_ID_83a5537959,2,-0.48864714,421072,3.0,8,15
138,Y,C_ID_aa9cdb0688,85,N,0,A,705,M_ID_9e9e8a8357,2,-0.66692167,421003,3.0,8,33
139,Y,C_ID_aa9cdb0688,69,N,0,A,560,M_ID_8f55f9eb54,1,-0.70686214,420154,1.0,9,34
140,Y,C_ID_aa9cdb0688,20,N,0,A,307,M_ID_1c5c0b7fde,2,-0.58247268,420931,3.0,19,19
141,Y,C_ID_aa9cdb0688,60,N,0,A,278,M_ID_b329767d19,2,-0.69649385,420920,1.0,16,37
142,Y,C_ID_aa9cdb0688,42,N,0,A,307,M_ID_c91bd93c65,2,-0.56280297,421140,3.0,19,19
143,Y,C_ID_db5c329a05,137,N,1,B,454,M_ID_2df4341d49,1,-0.73037863,422334,3.0,19,39
144,Y,C_ID_db5c329a05,137,N,1,B,454,M_ID_2274ec4d31,2,-0.73789189,423474,3.0,19,39
145,Y,C_ID_db5c329a05,147,N,1,B,307,M_ID_a14a8f06af,1,-0.61617714,422219,3.0,19,19
146,Y,C_ID_db5c329a05,113,N,1,B,309,M_ID_c000d832c6,2,-0.64773282,423350,3.0,19,21
147,Y,C_ID_db5c329a05,137,N,1,B,278,M_ID_3f897c07d9,1,-0.72001034,422635,3.0,19,37
148,Y,C_ID_db5c329a05,211,N,1,B,818,M_ID_17e8bcba70,1,-0.43292883,422202,3.0,19,12
