merchant_id,merchant_group_id,merchant_category_id,subsector_id,numerical_1,numerical_2,category_1,most_recent_sales_range,most_recent_purchases_range,avg_sales_lag3,avg_purchases_lag3,active_months_lag3,avg_sales_lag6,avg_purchases_lag6,active_months_lag6,avg_sales_lag12,avg_purchases_lag12,active_months_lag12,category_4,city_id,state_id,category_2
M_ID_c5b389236d,37179,813,29,-0.05747065,-0.05747065,N,E,E,,115.0,3,,189.91666667,6,,197.0,7,N,248,15,1.0
M_ID_c9855bf3e3,321,690,1,-0.05747065,-0.05747065,Y,E,E,,1084.0,3,,3432.66666667,6,,5236.0,12,Y,-1,-1,
M_ID_c0b712e11a,35,823,25,-0.05747065,-0.05747065,N,E,E,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,N,231,9,1.0
M_ID_66e3f03252,7760,818,12,-0.05747065,-0.05747065,N,E,E,211.0,2.0,3,927.83,6.83333333,6,1360.0,11.0,12,N,-1,16,1.0
M_ID_87c6ad39e9,35,511,7,-0.05747065,-0.05747065,N,E,E,1267.0,2.66666667,3,1465.16,2.33333333,6,998.1,1.8,10,Y,25,7,3.0
M_ID_8dd09c8e66,49471,705,33,-0.05747065,-0.05747065,N,E,E,174.56,34.66666667,3,412.96,72.5,6,520.26,88.4,10,N,223,21,5.0
M_ID_03f05b3ec0,42442,683,34,-0.05747065,-0.05747065,N,E,E,6.66,1.0,3,6.66,1.0,3,6.66,1.0,3,N,-1,9,1.0
M_ID_fea0d9b2ac,11301,560,34,-0.05747065,-0.05747065,N,E,E,1970.28,486.66666667,3,3245.24,816.16666667,6,3708.13,933.33333333,12,Y,251,8,3.0
M_ID_7ce96c351a,35,302,22,-0.05747065,-0.05747065,N,E,E,851844.64,61851.33333333,3,770443.34,56077.5,6,689561.85,50215.55555556,9,Y,69,9,1.0
M_ID_5600521712,51022,705,33,-0.05747065,-0.05747065,N,E,E,76.32,18.66666667,3,702.28,132.66666667,6,1372.53,250.3,10,Y,17,22,4.0
M_ID_79c5ae42b3,7221,90,22,-0.05747065,-0.05747065,Y,E,E,499.26,37.33333333,3,1360.9,286.66666667,6,1800.55,417.11111111,9,Y,-1,-1,
M_ID_650c335221,8342,178,29,-0.05747065,-0.05747065,N,E,E,158.52,29.66666667,3,454.65,88.33333333,6,536.7,104.41666667,12,N,-1,-1,
M_ID_0927f0cdac,19656,278,37,-0.05747065,-0.05747065,N,E,E,70.02,47.0,3,55.63,37.33333333,6,117.34,53.0,12,N,-1,9,1.0
M_ID_0843779e57,41926,367,16,-0.05747065,-0.05747065,N,E,E,308.8,102.0,3,378.21,128.0,6,319.96,107.375,8,N,153,15,1.0
M_ID_f4f99e0ab8,2127,705,33,-0.05747065,-0.05747065,N,E,E,7.93,3.66666667,3,118.1,45.66666667,6,198.96,70.5,8,N,156,7,3.0
M_ID_bee5edd23d,77535,307,19,-0.05747065,-0.05747065,N,E,E,9.33,3.0,3,16.79,3.5,6,133.47,30.91666667,12,N,-1,20,5.0
M_ID_87830c2e6a,36411,705,33,-0.04755575,-0.04755575,N,E,E,146.0,16.83333333,3,246.75,35.41666667,6,255.17,34.75,12,N,-1,19,3.0
M_ID_cd558a87be,13449,451,7,-0.05747065,-0.05747065,N,E,E,1708.68,883.44444444,3,1708.68,883.44444444,3,1708.68,883.44444444,3,N,169,20,5.0
