id_restaurant,label,food_type,city,review,geo_id
1,sparky's diner,24 hour diner,san francisco,2.3,128
2,kabul afghan cuisine,afghani,san carlos,3.8,127
3,helmand restaurant,afghani,san francisco,4,128
4,afghani house,afghani,sunnyvale,3.6,152
5,kabul afghan cusine,afghani,sunnyvale,3.7,152
6,bamyan afghan restaurant,afghani,san rafael,2.8,136
7,kabul palace,afghani,san jose,2.8,129
8,kandahar,afghani,concord,3.5,36
9,kabobs house,afghani,vacaville,2.7,160
10,massawa restaurant,african,san francisco,3.4,128
11,new eritrea restaurant & bar,african,san francisco,3,128
12,"ola's african,carbbean, cajun restaurant",african,cupertino,2.3,40
13,sum-yun chick,all ethnic,fremont,3.6,59
14,alameda grill,american,alameda,2.3,1
15,ann's lounge & hofbrau,american,alameda,2,1
16,lyon's restaurant,american,alameda,2.3,1
17,casablanca bar & grill,american,albany,2,3
18,monterey restaurant,american,albany,2.3,3
19,lyons restaurant,american,antioch,2,7
20,bob eatery,american,benicia,2,15
21,morgan's grill,american,benicia,2.3,15
22,papa's family restaurant,american,benicia,2,15
23,ann kong's world famous bleach bottle pig farm,american,berkeley,1.8,16
24,au-coquelet,american,berkeley,2.6,16
25,gilman grill,american,berkeley,2,16
26,rick & ann's,american,berkeley,3.5,16
27,shattuck avenue spats,american,berkeley,2.6,16
28,brooks ranch restaurant,american,brentwood,2,21
29,the silver skillet,american,brentwood,2,21
30,calistoga roastery,american,calistoga,2.3,25
31,the silverado restaurant-taver,american,calistoga,2.3,25
32,denny's,american,campbell,2,26
33,denny's,american,campbell,1.7,26
34,lyon's castro valley 442,american,castro valley,2,29
35,special continental cuisine,american,castro valley,1.8,29
36,andys restaurant,american,concord,2,36
37,cocos 873,american,concord,2,36
38,denny's restaurant,american,concord,2,36
39,legends-sports restaurant inc,american,concord,2.3,36
40,lyons restaurant,american,concord,2,36
41,marie callender's no,american,concord,2.3,36
42,peppermill inc,american,concord,2.8,36
43,chuck e cheese,american,cupertino,2,40
44,hobee's restaurant,american,cupertino,3.3,40
45,hobee's santa cruz,american,cupertino,2,40
46,marriott family restaurants,american,cupertino,2,40
47,paul's family restaurant,american,cupertino,2,40
48,t g i fridays,american,cupertino,1.8,40
49,tgi fridays,american,cupertino,2,40
50,the good earth,american,cupertino,2.3,40
51,hungry hunter,american,daly city,2,41
52,cocos 874,american,danville,2,42
53,denny's restaurant,american,danville,2,42
54,lyons restaurant,american,danville,2,42
55,virtual world,american,danville,2,42
56,carrows hickory chip restauran,american,dublin,2,46
57,cocos 872,american,dublin,2,46
58,copper skillet pantry dublin,american,dublin,1.7,46
59,dublin buffet,american,dublin,2.3,46
60,carrows hickory chip restauran,american,el cerrito,2,49
61,kirby's family restaurant,american,el cerrito,2,49
62,blake's restaurant,american,el sobrante,2,51
63,denny's restaurant,american,emeryville,2.3,52
64,lyons restaurant,american,emeryville,2,52
65,townhouse bar & grill,american,emeryville,3.1,52
66,denny's,american,fairfield,2,53
67,denny's,american,fairfield,1.7,53
68,denny's restaurant,american,fairfield,2,53
69,hickey's brass rail,american,fairfield,2,53
70,johnnie gourmet restaurant cocktails,american,fairfield,2,53
71,lyons restaurant,american,fairfield,2,53
72,chili's,american,fremont,2,59
73,denny's,american,fremont,1.3,59
74,denny's restaurant,american,fremont,2,59
75,dina's family restaurant,american,fremont,3,59
76,dino's family restaurant,american,fremont,2.3,59
77,harvest farm buffet,american,fremont,2,59
78,hungry hunter,american,fremont,2.5,59
79,lyons restaurant,american,fremont,2.4,59
80,marie callender,american,fremont,2.3,59
81,star family restaraunt,american,fremont,2.7,59
82,carrows hickory chip restauran,american,hayward,2,64
83,denny's restaurant,american,hayward,2,64
84,lyons restaurant,american,hayward,2,64
85,lyons restaurant,american,hayward,2,64
86,ernies family restaurant,american,hollister,2,67
87,johnnies bar & grill,american,hollister,2,67
88,hungry hunter,american,lafayette,2.8,73
89,killarney house,american,lafayette,2,73
90,papasan catering,american,lafayette,2,73
91,peppers bar & grill,american,lafayette,3.3,73
92,lyons restaurant,american,livermore,2.3,75
93,mc kay's bar & grill,american,livermore,2,75
94,pine street grill,american,livermore,2,75
95,emil villa's hick'ry pit restaurant,american,los altos,2,76
96,marie callender pie shop,american,los altos,2.4,76
97,los gatos brewing co.,american,los gatos,3.3,77
98,the good earth,american,los gatos,1.7,77
99,carrows restaurant,american,martinez,1.8,82
100,joes martinez bar & grill,american,martinez,2,82
101,denny's,american,milpitas,2,86
102,hungry hunter,american,milpitas,3.3,86
103,marie callender's,american,milpitas,2.3,86
104,marie callender's pie shops,american,morgan hill,2,91
105,mushrooms grille & bar,american,morgan hill,2.7,91
106,marriott family restaurants,american,mountain view,2,94
107,denny's napa valley east,american,napa,2,95
108,henry's,american,napa,2,95
109,lyons restaurant,american,napa,2,95
110,marie callender's,american,napa,2.3,95
111,o'sullivan's,american,napa,2,95
112,old adobe bar & grill,american,napa,2,95
