id_restaurant,label,food_type,city,rest_county,rest_region,street_num,street_name,review
1,sparky's diner,24 hour diner,san francisco,san francisco county,bay area,242,church st,2.3
2,kabul afghan cuisine,afghani,san carlos,san mateo county,bay area,135,el camino real,3.8
3,helmand restaurant,afghani,san francisco,san francisco county,bay area,430,broadway,4
4,afghani house,afghani,sunnyvale,santa clara county,bay area,1103,e. el camino real,3.6
5,kabul afghan cusine,afghani,sunnyvale,santa clara county,bay area,833,w. el camino real,3.7
6,bamyan afghan restaurant,afghani,san rafael,marin county,bay area,NULL,NULL,2.8
7,kabul palace,afghani,san jose,santa clara county,bay area,155,san fernando,2.8
8,kandahar,afghani,concord,contra costa county,bay area,2118,mt diablo st,3.5
9,kabobs house,afghani,vacaville,solano county,bay area,3005,alamo drive (corner nut tree),2.7
11,new eritrea restaurant & bar,african,san francisco,san francisco county,bay area,907,irving,3
12,"ola's african,carbbean, cajun restaurant",african,cupertino,santa clara county,bay area,10905,wolfe rd. cupertino,2.3
13,sum-yun chick,all ethnic,fremont,alameda county,bay area,4857,fremont blvd,3.6
14,alameda grill,american,alameda,alameda county,bay area,1520,park st,2.3
15,ann's lounge & hofbrau,american,alameda,alameda county,bay area,1231,park st,2
16,lyon's restaurant,american,alameda,alameda county,bay area,2375,shoreline dr,2.3
17,casablanca bar & grill,american,albany,alameda county,bay area,979,san pablo ave,2
18,monterey restaurant,american,albany,alameda county,bay area,1477,solano ave,2.3
19,lyons restaurant,american,antioch,contra costa county,bay area,2009,somersville rd,2
20,bob eatery,american,benicia,solano county,bay area,511,claverie way,2
21,morgan's grill,american,benicia,solano county,bay area,1034,1st st,2.3
22,papa's family restaurant,american,benicia,solano county,bay area,NULL,2nd st,2
23,ann kong's world famous bleach bottle pig farm,american,berkeley,alameda county,bay area,2072,san pablo ave.,1.8
24,au-coquelet,american,berkeley,alameda county,bay area,2000,university ave,2.6
25,gilman grill,american,berkeley,alameda county,bay area,1300,4th st,2
26,rick & ann's,american,berkeley,alameda county,bay area,2922,domingo ave,3.5
27,shattuck avenue spats,american,berkeley,alameda county,bay area,1974,shattuck ave,2.6
28,brooks ranch restaurant,american,brentwood,contra costa county,bay area,1135,2nd st,2
29,the silver skillet,american,brentwood,contra costa county,bay area,8300,brentwood blvd # a,2
30,calistoga roastery,american,calistoga,napa county,napa valley,1631,lincoln ave,2.3
31,the silverado restaurant-taver,american,calistoga,napa county,napa valley,1374,lincoln ave,2.3
32,denny's,american,campbell,santa clara county,bay area,580,w hamilton ave,2
33,denny's,american,campbell,santa clara county,bay area,2060,s bascom ave,1.7
34,lyon's castro valley 442,american,castro valley,alameda county,bay area,3240,castro valley blvd,2
35,special continental cuisine,american,castro valley,alameda county,bay area,3774,castro valley blvd,1.8
36,andys restaurant,american,concord,contra costa county,bay area,1089,oak grove rd,2
37,cocos 873,american,concord,contra costa county,bay area,4391,treat blvd,2
38,denny's restaurant,american,concord,contra costa county,bay area,1313,willow pass rd,2
39,legends-sports restaurant inc,american,concord,contra costa county,bay area,4050,port chicago hwy,2.3
40,lyons restaurant,american,concord,contra costa county,bay area,4301,clayton rd,2
41,marie callender's no,american,concord,contra costa county,bay area,2090,diamond blvd,2.3
42,peppermill inc,american,concord,contra costa county,bay area,1100,concord ave,2.8
43,chuck e cheese,american,cupertino,santa clara county,bay area,NULL,NULL,2
44,hobee's restaurant,american,cupertino,santa clara county,bay area,21267,stevens creek blvd,3.3
45,hobee's santa cruz,american,cupertino,santa clara county,bay area,10215,anthony pl,2
46,marriott family restaurants,american,cupertino,santa clara county,bay area,10145,n de anza blvd,2
47,paul's family restaurant,american,cupertino,santa clara county,bay area,10700,s de anza blvd,2
48,t g i fridays,american,cupertino,santa clara county,bay area,10343,n wolfe rd,1.8
49,tgi fridays,american,cupertino,santa clara county,bay area,10343,n wolfe rd,2
50,the good earth,american,cupertino,santa clara county,bay area,20807,stevens creek blvd,2.3
51,hungry hunter,american,daly city,san mateo county,bay area,371,gellert blvd,2
52,cocos 874,american,danville,contra costa county,bay area,387,diablo rd,2
53,denny's restaurant,american,danville,contra costa county,bay area,807,camino ramon,2
54,lyons restaurant,american,danville,contra costa county,bay area,185,railroad,2
55,virtual world,american,danville,contra costa county,bay area,117,town and country dr ste a,2
56,carrows hickory chip restauran,american,dublin,alameda county,bay area,7505,dublin blvd,2
57,cocos 872,american,dublin,alameda county,bay area,7944,dublin blvd,2
58,copper skillet pantry dublin,american,dublin,alameda county,bay area,7265,amador valley blvd,1.7
59,dublin buffet,american,dublin,alameda county,bay area,7783,amador valley blvd,2.3
60,carrows hickory chip restauran,american,el cerrito,contra costa county,bay area,6120,potrero ave,2
61,kirby's family restaurant,american,el cerrito,contra costa county,bay area,10,el cerrito plz,2
62,blake's restaurant,american,el sobrante,contra costa county,bay area,4006,granada rd,2
63,denny's restaurant,american,emeryville,alameda county,bay area,1776,powell st,2.3
64,lyons restaurant,american,emeryville,alameda county,bay area,5750,christie ave,2
65,townhouse bar & grill,american,emeryville,alameda county,bay area,5862,doyle st,3.1
66,denny's,american,fairfield,solano county,bay area,260,pittman rd,2
67,denny's,american,fairfield,solano county,bay area,1360,holiday ln,1.7
68,denny's restaurant,american,fairfield,solano county,bay area,2980,travis blvd,2
69,hickey's brass rail,american,fairfield,solano county,bay area,1545,webster st # a,2
70,johnnie gourmet restaurant cocktails,american,fairfield,solano county,bay area,1955,texas st,2
71,lyons restaurant,american,fairfield,solano county,bay area,2390,n texas st,2
72,chili's,american,fremont,alameda county,bay area,39131,fremont blvd,2
73,denny's,american,fremont,alameda county,bay area,5280,mowry ave,1.3
74,denny's restaurant,american,fremont,alameda county,bay area,46645,mission blvd,2
75,dina's family restaurant,american,fremont,alameda county,bay area,40800,fremont blvd,3
76,dino's family restaurant,american,fremont,alameda county,bay area,36930,fremont blvd,2.3
77,harvest farm buffet,american,fremont,alameda county,bay area,4628,ariel ave,2
78,hungry hunter,american,fremont,alameda county,bay area,5339,mowry ave,2.5
79,lyons restaurant,american,fremont,alameda county,bay area,39350,paseo padre pky,2.4
80,marie callender,american,fremont,alameda county,bay area,39170,argonaut way,2.3
81,star family restaraunt,american,fremont,alameda county,bay area,3241,walnut avenue,2.7
82,carrows hickory chip restauran,american,hayward,alameda county,bay area,20413,hesperian blvd,2
83,denny's restaurant,american,hayward,alameda county,bay area,30163,industrial pky sw,2
84,lyons restaurant,american,hayward,alameda county,bay area,24100,mission blvd,2
85,lyons restaurant,american,hayward,alameda county,bay area,25010,hesperian blvd,2
86,ernies family restaurant,american,hollister,san benito county,northern california,191,san felipe rd # g,2
87,johnnies bar & grill,american,hollister,san benito county,northern california,526,san benito st,2
88,hungry hunter,american,lafayette,contra costa county,bay area,3201,mount diablo blvd,2.8
89,killarney house,american,lafayette,contra costa county,bay area,3535,mount diablo blvd,2
90,papasan catering,american,lafayette,contra costa county,bay area,3659,happy valley rd,2
91,peppers bar & grill,american,lafayette,contra costa county,bay area,3474,mount diablo blvd,3.3
92,lyons restaurant,american,livermore,alameda county,bay area,117,s s st,2.3
93,mc kay's bar & grill,american,livermore,alameda county,bay area,2293,1st st,2
94,pine street grill,american,livermore,alameda county,bay area,875,rincon ave,2
95,emil villa's hick'ry pit restaurant,american,los altos,santa clara county,bay area,2310,homestead rd,2
96,marie callender pie shop,american,los altos,santa clara county,bay area,4710,el camino real,2.4
97,los gatos brewing co.,american,los gatos,santa clara county,bay area,130,n. santa cruz ave.,3.3
98,the good earth,american,los gatos,santa clara county,bay area,206,n santa cruz ave,1.7
99,carrows restaurant,american,martinez,contra costa county,bay area,500,center ave,1.8
100,joes martinez bar & grill,american,martinez,contra costa county,bay area,3925,alhambra ave,2
101,denny's,american,milpitas,santa clara county,bay area,200,serra way # 170,2
102,hungry hunter,american,milpitas,santa clara county,bay area,1181,e calaveras blvd,3.3
103,marie callender's,american,milpitas,santa clara county,bay area,333,s abbott ave,2.3
104,marie callender's pie shops,american,morgan hill,santa clara county,bay area,18599,sutter blvd,2
105,mushrooms grille & bar,american,morgan hill,santa clara county,bay area,65,w main ave,2.7
106,marriott family restaurants,american,mountain view,santa clara county,bay area,1991,w el camino real,2
107,denny's napa valley east,american,napa,napa county,napa valley,1000,imola ave,2
108,henry's,american,napa,napa county,napa valley,1044,los carneros ave,2
109,lyons restaurant,american,napa,napa county,napa valley,1175,trancas st,2
110,marie callender's,american,napa,napa county,napa valley,5,financial plz ste 120,2.3
111,o'sullivan's,american,napa,napa county,napa valley,359,1st st,2
112,old adobe bar & grill,american,napa,napa county,napa valley,376,soscol ave,2
113,zapata bar and grill,american,napa,napa county,napa valley,3958,bel aire plz,2.3
