id,city,county,region,review
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,2.4
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,3.8
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.5
1,alameda,alameda county,bay area,1.8
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,2.6
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,2.5
1,alameda,alameda county,bay area,2.8
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.4
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.5
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,1.7
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.5
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,1.7
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.2
1,alameda,alameda county,bay area,3.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.9
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.8
1,alameda,alameda county,bay area,2.6
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,2.7
1,alameda,alameda county,bay area,3.7
1,alameda,alameda county,bay area,2.8
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.2
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.8
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.6
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,1.7
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.8
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.8
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,3.2
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,3.2
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.3
1,alameda,alameda county,bay area,3.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
1,alameda,alameda county,bay area,2.0
2,alamo,contra costa county,bay area,2.7
2,alamo,contra costa county,bay area,2.0
2,alamo,contra costa county,bay area,2.3
2,alamo,contra costa county,bay area,2.0
2,alamo,contra costa county,bay area,2.0
2,alamo,contra costa county,bay area,2.0
2,alamo,contra costa county,bay area,2.7
2,alamo,contra costa county,bay area,3.0
2,alamo,contra costa county,bay area,2.0
2,alamo,contra costa county,bay area,2.0
2,alamo,contra costa county,bay area,2.0
2,alamo,contra costa county,bay area,2.3
3,albany,alameda county,bay area,2.0
3,albany,alameda county,bay area,2.3
3,albany,alameda county,bay area,1.7
3,albany,alameda county,bay area,2.0
3,albany,alameda county,bay area,2.3
3,albany,alameda county,bay area,3.0
