projectid,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
ff014dfc1be532743c98558a1b806077,t,t,t,t,t,f,t,f,100.0,1.0,1.0
36f7da41ee22e944814a9307062547ec,f,f,f,f,f,t,t,f,50.0,0.0,3.0
dbfde4b4828e3d0e56cfb01948c79126,t,t,t,t,t,t,t,f,66.0,4.0,5.0
779e9d86bb306261c116118073971460,f,f,f,f,f,f,f,f,0.0,0.0,1.0
0ae61f7225933456ac529e4de253cb9c,t,t,t,t,t,t,t,f,71.0,2.0,5.0
836afb53853c6fa145befb035d7a9707,t,t,t,t,t,t,t,f,64.0,4.0,6.0
89692c3a9c6f6f48a839bd44b97e7efd,f,,f,,f,,,,,,
63e51f9dea43ee3abd67a4d09790feec,t,t,t,t,t,t,t,f,85.0,7.0,4.0
f584312306e898116606090a851b2f93,f,t,t,t,f,t,t,f,16.0,5.0,8.0
74f328d301d5b0638295c4ad483cccaf,t,t,t,t,t,f,t,f,66.0,3.0,1.0
30b4ea5947da448343cc0376af220c64,f,t,f,t,t,t,f,f,62.0,5.0,3.0
e49e8b1614b86c11e34871441388b995,t,t,t,t,t,t,t,t,75.0,3.0,9.0
81c1b6d23e6b7564275fcb06375a68b7,t,t,t,t,t,t,f,f,83.0,3.0,5.0
190f429d3bc006e551f8ebda93cc6292,f,f,t,t,f,t,f,f,37.0,0.0,42.0
618ba70fb1db82a7e4b5ffd109c934d5,f,f,t,t,t,t,t,f,83.0,0.0,7.0
93161af41f974365ee8641e8af1d7c69,f,,f,,f,,,,,,
3fe1140ccba4d04dbf24057aefd95ae6,f,f,t,t,t,t,t,f,100.0,0.0,7.0
e1cd3c9202b37e574caa04b62c99ed3e,f,f,t,t,t,t,t,f,100.0,0.0,12.0
ce12e13e6e041d5f35862673b20dabc7,t,t,t,t,t,t,t,f,100.0,2.0,5.0
78df8006f822b8026c3aa31b69a355c7,t,t,t,t,t,t,t,f,75.0,3.0,6.0
f8def77af249d607ce04b042373ff600,f,f,t,t,f,t,t,f,25.0,0.0,4.0
9fd70c0de5d6f3692d3917bc85b92e0f,t,t,t,t,t,t,t,f,66.0,2.0,5.0
45a5260b41c450348c482d6c5b3be56e,t,t,t,t,t,f,t,f,66.0,3.0,2.0
34dc56623ab17493167ca314bcb79102,t,t,t,t,t,t,f,f,64.0,2.0,11.0
0152c47694703974abe8148d1e3b7415,t,t,t,t,t,t,f,f,88.0,4.0,7.0
a33a8aa8fbe5e107a13bcbc43a8e638c,f,f,f,t,f,f,f,f,0.0,0.0,1.0
ae43153c00a3b54f48632c60d1c46cbb,t,t,t,t,t,t,t,f,85.0,3.0,5.0
fc271753822e6d2ebaac803600030d82,f,f,f,f,f,f,f,f,0.0,0.0,1.0
7af103248f2530bc435387d01dcf2cb2,f,,f,,f,,,,,,
7fed5706bcc73e3517e36edc3485eace,f,f,f,f,t,f,f,f,100.0,0.0,1.0
6ce704866367b8d94d76898d1e77dc66,f,f,t,t,t,t,t,f,100.0,0.0,3.0
5106ad93d1c57e6a648b6b01c5562c49,f,f,t,t,f,t,f,f,40.0,0.0,5.0
820cf798ced1f7eb3172704772be9051,f,f,t,f,f,f,t,f,0.0,0.0,1.0
