projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted
48bf86c2c000174b3ad91c33f9984a8c,efbf652395770a9951437b5b6a96b7e4,54c6971a90d227204366c9a213df0786,230993000275.0,43.676252,-70.294893,Portland,ME,4103.0,urban,Portland Public School Dist,Cumberland,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Books,high poverty,Grades 6-8,30.0,576.28,677.98,165.0,f,f,2013-12-31
0351ffc28f56e3a1526be2b245ffd7b6,aa130ea095ef97602997c328010c9f3d,3d817fd8a8433bb4691c67fd311b6514,370219000947.0,35.728184,-81.379982,Hickory,NC,28602.0,rural,Hickory Public Schools,Catawba,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,30.0,369.89,435.16,20.0,f,f,2013-12-30
814328f82788ac8292b6bcc250f9cfcf,2de7a1ac7688702299ef837d6f326a30,4308cdcea51968e4d3744bf7b653a67f,370045000151.0,35.472906,-82.496122,Arden,NC,28704.0,suburban,Buncombe Co School District,Buncombe,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,moderate poverty,Grades 3-5,30.0,356.75,419.71,19.0,f,f,2013-12-29
d38cea83a2e5ad49e5a51774893381ba,1364c5c7ecb132a8984e8f4156a256df,9751bdb4f71c4fc774a42a1205233fd4,120048000674.0,30.349716,-81.72909,Jacksonville,FL,32254.0,urban,Duval Co Public School Dist,Duval,f,f,f,f,f,f,Ms.,t,f,Literature & Writing,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,30.0,198.38,233.39,16.0,f,f,2013-12-29
367bd8fb9113eb1524d27e1c242be8f1,acb3a5a7258085c812271032d7a65376,bfcad9200f84e2ee705b545af75eed77,63060004749.0,38.003517,-121.88781,Pittsburg,CA,94565.0,suburban,Pittsburg Unified School Dist,Contra Costa,f,f,f,f,f,f,Ms.,f,f,Music,Music & The Arts,,,Supplies,highest poverty,Grades 6-8,30.0,458.07,538.91,50.0,f,f,2013-12-29
36e077670a399fa794e9c00e27c07f2e,d93a201a85a79bf9c97dcf685ccd9a6b,cd485ee6e0a8f0bbfad20cee8f2a234b,174007004029.0,41.636307,-88.08828,Romeoville,IL,60446.0,suburban,Valley View Cmty SD 365-u,Will,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Supplies,high poverty,Grades PreK-2,30.0,248.77,292.67,22.0,f,f,2013-12-29
e02ecbaf3a20841ae8deee2f58823800,484a902aff0583ea039867dbdbefab54,b0841166e3fe49a75f8ba5b8d1e08472,370333001371.0,34.205788,-77.90728,Wilmington,NC,28403.0,urban,New Hanover Co School District,New Hanover,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Technology,high poverty,Grades PreK-2,30.0,159.4,187.53,19.0,f,f,2013-12-29
b7cfe169d3991d2bb78a611108e3e2a6,caee3d85883ddb6197b8f1a51a012684,69b198859d921f52492f806c2ed9b150,172511002744.0,41.869027,-87.850591,Broadview,IL,60155.0,suburban,Maywd-melrose Brdview SD 89,Cook,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,,,Supplies,high poverty,Grades 6-8,30.0,142.86,168.07,120.0,t,f,2013-12-28
7eef299fca5f3d98ec8881882a3b2839,d0e94f7a07bddf95e3e05c5fcb319fd3,a6f5f294e1641355994c0d88b0074e13,220013000979.0,29.953526,-90.102989,New Orleans,LA,70125.0,urban,New Orleans Recovery School District,Orleans,t,f,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,Mathematics,Math & Science,Supplies,highest poverty,Grades PreK-2,30.0,275.44,324.05,15.0,t,f,2013-12-27
c02e1307c22ded492de1584a8a8198c2,7f70fbe724ff73d24aacbac7722b54ac,5f35c30f2bb5cc71efbd319f98a5b42f,360008403738.0,40.813381,-73.913857,Bronx,NY,10455.0,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,Civics & Government,History & Civics,Technology,highest poverty,Grades 3-5,30.0,564.16,663.72,100.0,f,f,2013-12-27
a98147f240abb9f734b5796c575d44a6,5adafd6791bdcae946dcb08562cff567,9b13bf22650ec9958e6f7df36b7a113a,62583003884.0,37.126816,-121.661124,Morgan Hill,CA,95037.0,suburban,Morgan Hill Unified Sch Dist,Santa Clara,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,30.0,528.07,621.26,53.0,f,f,2013-12-26
f9778af116d45f1d723087b32365efbd,f26407f0b865d61c61e57d1454a8f051,6aa3f5022f410bcc5137ceee478af0b0,173042003161.0,42.110345,-88.021481,Palatine,IL,60074.0,suburban,Community Cons School Dist 15,Cook,f,f,f,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,Mathematics,Math & Science,Technology,moderate poverty,Grades 6-8,30.0,1981.62,2331.32,40.0,f,f,2013-12-24
b3fe698522ca71bce72daec33664dafc,bc7683df7fe9e754be51ca6f6898c164,47f2db32b98de477b3185956f4a73c49,551464001898.0,43.196213,-89.22592,Sun Prairie,WI,53590.0,suburban,Sun Prairie Area Sch District,Dane,f,f,f,f,f,f,Ms.,f,f,Environmental Science,Math & Science,,,Visitors,moderate poverty,Grades PreK-2,30.0,436.0,512.94,72.0,f,f,2013-12-23
bfb7eb1147855da7a55e6d04d5dc44af,dccee7c045566c2065d6881ec64c8e5f,4dcce938611b7f0c53b4eea61862fc19,120039000468.0,25.836538,-80.186836,Miami,FL,33138.0,urban,Miami-dade Co Public Sch Dist,Miami-Dade,f,t,f,f,f,f,Ms.,t,f,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,highest poverty,Grades 6-8,30.0,1128.79,1327.99,150.0,f,f,2013-12-23
efc8a7097f95478d806f2dade281428d,43e528ecbac4d4aa8d35ea7f6c82d66a,c451b8903d26a8a1dc61e5ffa9f61ae5,,41.461536,-74.421104,Middletown,NY,10940.0,,Middletown Enlarged City Sd,Orange,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,History & Geography,History & Civics,Supplies,low poverty,Grades 3-5,30.0,622.21,732.01,52.0,f,f,2013-12-22
a89fea1b1d86a17fbc066766d6ddd9be,b8b9caaf2ec907c1aefea06563d096bd,25240fd6e3dd9edeac4cec3bbef38d2c,360008302643.0,40.856909,-73.936718,New York,NY,10040.0,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Other,high poverty,Grades 3-5,30.0,674.63,793.68,27.0,f,f,2013-12-22
227b7cf3ea8a2a02856d141d7ef9adae,5b7f45f19e1372fb2b6d616de3c943da,74c4362e33c7c3f4eb1320b454678b0d,421899003851.0,39.963013,-75.16147,Philadelphia,PA,19130.0,urban,Philadelphia City School Dist,Philadelphia,f,f,f,f,f,f,Mr.,f,f,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades 9-12,30.0,555.89,653.99,225.0,f,f,2013-12-21
d3e36bf7d41e07d7b41112da93fa8c2b,db6f359a88044a9b64e2f9210299674e,4c3e54351a2c623ab83d065cd9d6bfd4,260891004433.0,45.638872,-84.46894,Cheboygan,MI,49721.0,,Cheboygan Area School District,Cheboygan,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Technology,high poverty,Grades 3-5,30.0,312.17,367.26,25.0,t,f,2013-12-21
b2fa684bf837ee7dff9db745245b5efa,3794e54836659f85892749f09502e9ba,e8a23fdc60070f1268a4b141a4ca1512,40187000131.0,33.325199,-111.852592,Chandler,AZ,85225.0,suburban,Chandler Unif School Dist 80,Maricopa,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,,,Supplies,highest poverty,Grades PreK-2,30.0,258.04,303.58,47.0,f,f,2013-12-20
bd9c5f8024d81b5d707ab5f20ff9b3e1,cf99bd61810e3f5358ddab5c7edc11c5,11b3ffefbf2d3263d51de6f9dc7d7d8a,170993001185.0,41.918371,-87.645955,Chicago,IL,60614.0,urban,North-nw Side Hs Network,Cook,f,t,f,f,f,f,Ms.,f,f,Visual Arts,Music & The Arts,Literacy,Literacy & Language,Trips,highest poverty,Grades 9-12,30.0,1244.96,1464.66,133.0,t,f,2013-12-19
06b3b453994ce7024af1d834ac1fa06b,bf8860d6a793e49357bd644d53f88781,3143dc4184db0e3ad66f6e4dfc648e69,,42.982922,-83.617104,Burton,MI,48519.0,suburban,Michigan Dept of Education,Genesee,t,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Supplies,high poverty,Grades 9-12,30.0,316.42,372.26,80.0,f,f,2013-12-19
05ae71ef88479197fc349ca7b544bbfb,dbae4db296e5307deba30edd997a5796,da9629459419f15d99ce0464e4e65ee8,481611006086.0,29.885453,-95.675439,Houston,TX,77095.0,suburban,Cypress-fairbanks Ind Sch Dist,Harris,f,f,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,Health & Life Science,Math & Science,Supplies,high poverty,Grades 3-5,30.0,209.55,246.53,22.0,t,f,2013-12-18
c55baed136c8bc44d66837a4951eecfe,473219a72080bb5cade702fabad958cd,43c3c636d8521863524ac9a996eedf3c,490087000666.0,40.745262,-111.883949,Salt Lake Cty,UT,84111.0,urban,Salt Lake City School District,Salt Lake,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,ESL,Literacy & Language,Technology,highest poverty,Grades 3-5,30.0,1071.3,1260.35,25.0,t,f,2013-12-18
64be74f8d7e886c86867590fbee20ec0,6846a17d8a0ed7061c0942fb3f95dd53,c5ddcdd6b88187a67dc515d2452080b3,,29.797121,-95.8218,Katy,TX,77493.0,suburban,Texas Dept of Education,Harris,t,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,30.0,241.84,284.52,20.0,f,f,2013-12-17
f360f9466908ab46244d7b5033fe1e5e,6aaaa4411180ec37218a8a71684d4ce4,85d233446350b25a3a4f11df29913e42,220009001541.0,30.259033,-90.989239,Geismar,LA,70734.0,suburban,Ascension Parish School Dist,Ascension,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,high poverty,Grades 9-12,30.0,646.56,760.66,150.0,f,f,2013-12-16
114a4879afd0dd78dfac4800f92bc5d0,7978d74ab903618af3e82ad170d8fd9c,f4bd5445b94b67c46a03c4d1610d77aa,130282001211.0,33.450406,-84.136577,Mcdonough,GA,30253.0,suburban,Henry Co School District,Henry,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,,,Supplies,highest poverty,Grades PreK-2,30.0,282.84,332.75,6.0,f,f,2013-12-16
ef69e52d5e5bc47041e1708b889f644c,1260832be8c8f7ad72e8cb05f307cd1c,f45abf0feb36af2ae90f83d8381c0029,120009002976.0,30.168846,-85.764119,P C Beach,FL,32408.0,,Bay Co School District,Bay,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,moderate poverty,Grades PreK-2,30.0,395.78,465.62,15.0,f,f,2013-12-15
a46c4f99067dd978f1fbc3e805845fdf,6ccf0d859c21cb9aa117881b4e129ee8,1dd39cb1473ff6fcbf9ca124772bffec,120144005018.0,28.485428,-81.444901,Orlando,FL,32811.0,urban,Orange Co Public School Dist,Orange,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Health & Life Science,Math & Science,Technology,highest poverty,Grades PreK-2,30.0,1295.51,1524.13,18.0,t,f,2013-12-15
