resourceid,projectid,vendorid,vendor_name,project_resource_type,item_name,item_number,item_unit_price,item_quantity
b293de566595041e584881137829341c,fffc602212a37bd35f49c51d2cd6a514,7.0,AKJ Books,Books,A Young People''s History of the United States,9781583228869,35.1,20.0
87fff3d9df074171c4f8ef2589bd70b9,fff309b22dacd7a37db9cb9ccee1e031,767.0,Lakeshore Learning Materials,Supplies,LL586 - Desktop Organizer,LL586,39.95,1.0
906af1a2a5f1553cb115c1cb7319281f,fff309b22dacd7a37db9cb9ccee1e031,767.0,Lakeshore Learning Materials,Supplies,RA415 - Extra Chart Stand Rings - Set of 5,RA415,4.95,1.0
6e6bc95a1cbfceb106dbe841b827f9b9,fff309b22dacd7a37db9cb9ccee1e031,767.0,Lakeshore Learning Materials,Supplies,JJ627 - Turn-In-Your-Work Organizer,JJ627,34.95,1.0
56b25dbcbbd7b2aad5fc66a9ff65cdc2,fff309b22dacd7a37db9cb9ccee1e031,767.0,Lakeshore Learning Materials,Supplies,FG362 - File Folder Pocket Chart,FG362,14.95,1.0
2321821350801321c29dc0a9470de12a,fff309b22dacd7a37db9cb9ccee1e031,767.0,Lakeshore Learning Materials,Supplies,TT927 - All-Purpose Teacher&#8217;s Organizer,TT927,49.95,1.0
67858a1893400067012aea806b3855c5,fff309b22dacd7a37db9cb9ccee1e031,767.0,Lakeshore Learning Materials,Supplies,GW323 - Organization Station Pocket Chart,GW323,32.95,1.0
d748af58bb7d85ddce2598da96dc9f0c,fff309b22dacd7a37db9cb9ccee1e031,2.0,Kaplan Early Learning Company,Supplies,Weather Graphing Pocket Chart,22398,21.95,1.0
123825aca54016a684ca6ef3c415ed2f,ffe3ed8b9dc4d3ca9910bac9d87c979e,7.0,AKJ Books,Books,Tuck Everlasting -- Teacher Guide,NU 251X,10.46,1.0
26d80e96e8b41d3671811a8f8f62f110,ffe3ed8b9dc4d3ca9910bac9d87c979e,7.0,AKJ Books,Books,Sign of the Beaver -- Teacher Guide,NU 2420,10.46,1.0
776a9c07dd3ae4465d05a402bfd7cf95,ffe3ed8b9dc4d3ca9910bac9d87c979e,7.0,AKJ Books,Books,Walk Two Moons -- Teacher Guide,NU 7708,10.46,1.0
cb2b24304af3b4feaff67f0317a66417,ffe3ed8b9dc4d3ca9910bac9d87c979e,776.0,Recorded Books,Books,Tuck Everlasting  Steady Reader    Homework Pack,40564,42.95,1.0
c9840ee6417ee38f2d25f7f69caed479,ffe3ed8b9dc4d3ca9910bac9d87c979e,7.0,AKJ Books,Books,Maniac Magee -- Teacher Guide,NU 3486,10.46,1.0
b9f1f148212384c8cedb5d98eb79de8a,ffe3ed8b9dc4d3ca9910bac9d87c979e,7.0,AKJ Books,Books,Hatchet -- Teacher Guide,NU 1238,10.46,1.0
fbad1142565ea5094b22a25a16617671,ffdf507f91ac6dd7c4190e675548c6eb,767.0,Lakeshore Learning Materials,Supplies,DD338 - Write & Wipe Thin-Line Markers - Class Pack,DD338,27.95,4.0
ff2ecf630efdd4a83f801da319590a86,ffdf507f91ac6dd7c4190e675548c6eb,757.0,Teachers' School Supply,Supplies,Stackable Storage Trunk - Single  Bins: Blue-BL,ELR-0659,31.99,1.0
2c2324c3421faa4e7959e61329528034,ffdf507f91ac6dd7c4190e675548c6eb,767.0,Lakeshore Learning Materials,Supplies,KC70 - Write & Wipe Lapboard - Set of 10,KC70,28.5,4.0
f2146a340f9fc601ab5e75a02f32e826,ffdf507f91ac6dd7c4190e675548c6eb,767.0,Lakeshore Learning Materials,Supplies,RR423 - Write & Wipe Lapboard Erasers - Set of 10,RR423,13.95,4.0
ed72832958e5513f10de9a0129efc95e,ffde533979dd178721a9b69ee1b264be,767.0,Lakeshore Learning Materials,Other,CN212BU - 11 1/2&#34; Classic Chair - Blue,CN212BU,37.95,4.0
9a926e2e559220f14ee46a21801488dc,ffde533979dd178721a9b69ee1b264be,767.0,Lakeshore Learning Materials,Other,CN341BU - Rainbow 30&amp;#34; x 60&#34; Rectangular Table - Blue,CN341BU,189.0,1.0
f907b0d7f733bdf5c8464c2f94a89bdd,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,DA623 - Real-Working Cash Register,DA623,29.95,1.0
3de8b228f00c230b5d75f14dc529b9a4,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,DD320X - Counting Money Puzzles - Complete Set,DD320X,29.95,1.0
ae3a0b0ce7703cfab0132c66abf988af,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,JJ484 - Write & Wipe Student Clocks - Set of 10,JJ484,9.95,2.0
0e8cdd83a741b4ea879e477b613894a2,ffd5430c07b00d656a233cd20368b069,2.0,Kaplan Early Learning Company,Supplies,Time Clock Pocket Chart,85968,34.36,1.0
dbf7b0287e741f3e2d1f6164cd730495,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,DR182 - Dice in Dice Tub,DR182,19.95,1.0
665074b9fecff509c66c74e2dff3d6ad,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,LA551 - Coins Rubber Stamp Set,LA551,6.99,1.0
9f2cbf91a5dff2e8db28186bea489315,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,GG286 - Student Telling Time Boards - Set of 10,GG286,39.95,1.0
f3892a9660c86d28c42688b218e00042,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,FF551 - Elementary Number Line Activity Chart,FF551,49.95,1.0
197ce8290877887ecc43e1a1c67d1461,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,FF884 - Time of Day Sequencing Cards,FF884,12.95,1.0
8b7b73d594f1f0669049f09b4649cc17,ffd5430c07b00d656a233cd20368b069,2.0,Kaplan Early Learning Company,Supplies,Wooden Shape Sorting Clock,81603,11.14,1.0
654f521da50496ff007a68df1b789cfd,ffd5430c07b00d656a233cd20368b069,767.0,Lakeshore Learning Materials,Supplies,DD105 - Black Write & Wipe Markers - Thin-Line - Set of 4,DD105,3.99,5.0
e3f91a76ea421d773ff9a26622fcf50d,ffb6b325dbc914b9134dc1d9226a623d,752.0,Nasco,Supplies,"Adjustable Height Colored Activity Table - 60"" Yellow Flower",Z13929J,204.95,1.0
dcf95c88f6a6d08b1af0fe7586a4d853,ffb6b325dbc914b9134dc1d9226a623d,752.0,Nasco,Supplies,"Adjustable Height Colored Activity Table - 60"" Blue Flower",Z13930J,204.95,1.0
962046a223e018dc560bdf9cb4eb1ee6,ffb6b325dbc914b9134dc1d9226a623d,752.0,Nasco,Supplies,"Adjustable Height Colored Activity Table - 60"" Red Flower",Z13928J,204.95,1.0
